,t,y,v_{y},v_{x},x
103,21,0.53622642,-0.052998734,-0.014999975,0.448427509
104,21.2,0.526472746,-0.047338986,-0.005824192,0.447216195
105,21.4,0.517290826,-0.074000215,-0.001831782,0.446097832
106,21.6,0.496872659,-0.085616061,0.000180574,0.446483482
107,21.8,0.483044401,-0.068746985,0.00342003,0.446170062
108,22,0.469373865,-0.068797252,0.010017235,0.447851494
109,22.2,0.4555255,-0.060377813,0.010431191,0.450176956
110,22.4,0.44522274,-0.054049378,0.008642036,0.452023971
111,22.6,0.433905749,-0.052849125,0.008286867,0.45363377
112,22.8,0.42408309,-0.065918664,0.009308841,0.455338717
113,23,0.407538284,-0.074953942,0.005741143,0.457357306
114,23.2,0.394101513,-0.058866518,-0.010354973,0.457635175
115,23.4,0.383991677,-0.059832573,-0.010657616,0.453215317
116,23.6,0.370168484,-0.069350451,0.004404663,0.453372128
117,23.8,0.356251496,-0.065473022,0.001926401,0.454977183
118,24,0.343979275,-0.051574936,0.007732605,0.454142689
119,24.2,0.335621522,-0.055035205,0.003170415,0.458070225
120,24.4,0.321965193,-0.060594032,-0.010039673,0.455410855
121,24.6,0.311383909,-0.064642716,-0.00140249,0.454054355
122,24.8,0.296108107,-0.073696717,0.003104653,0.454849859
123,25,0.281905222,-0.078407673,-0.000489897,0.455296217
124,25.2,0.264745038,-0.076892576,-0.000108416,0.4546539
125,25.4,0.251148191,-0.066460636,-6.76E-05,0.45525285
126,25.6,0.238160783,-0.058250383,-0.010826133,0.454626842
127,25.8,0.227848038,-0.064987175,-0.008337646,0.450922397
128,26,0.212165913,-0.076459257,0.009976402,0.451291783
129,26.2,0.197264335,-0.060501622,0.009545886,0.454912958
130,26.4,0.187965264,-0.047077076,-0.007759708,0.455110137
131,26.6,0.178433505,-0.057723775,-0.016013955,0.451809075
132,26.8,0.164875755,-0.064624921,-0.008710699,0.448704555
133,27,0.152583536,-0.067686311,-0.004054939,0.448324795
134,27.2,0.13780123,-0.067196409,0.007790256,0.44708258
135,27.4,0.125704973,-0.065698153,0.020865007,0.451440898
136,27.6,0.111521969,-0.075255644,0.009134594,0.455428583
137,27.8,0.095602715,-0.083230743,-0.002396902,0.455094735
138,28,0.078229672,-0.069566029,-0.001865782,0.454469822
139,28.2,0.067776303,-0.063886366,-0.000346867,0.454348422
140,28.4,0.052675126,-0.077286322,-0.001695588,0.454331075
141,28.6,0.036861774,-0.059392026,-0.012617172,0.453670187
142,28.8,0.028918315,-0.047075974,-0.010480429,0.449284206
143,29,0.018031385,-0.082140859,-0.005093579,0.449478015
144,29.2,-0.003938028,-0.087685032,-0.005071139,0.447246775
145,29.4,-0.017042628,-0.065542831,0.008099819,0.44744956
146,29.6,-0.03015516,-0.062602525,0.008647014,0.450486703
147,29.8,-0.042083638,-0.061266714,0.01091188,0.450908366
148,30,-0.054661846,-0.072490949,0.009938182,0.454851455
149,30.2,-0.071080018,-0.078501577,0.008496756,0.454883639
150,30.4,-0.086062477,-0.075678397,0.002696217,0.458250157
151,30.6,-0.101351376,-0.064987057,-0.019402797,0.455962125
152,30.8,-0.1120573,-0.066430282,-0.014532389,0.450489038
153,31,-0.127923489,-0.072559322,-0.00650402,0.45014917
154,31.2,-0.141081028,-0.068955282,-0.003520737,0.44788743
155,31.4,-0.155505602,-0.060126193,0.005697109,0.448740875
156,31.6,-0.165131505,-0.056698817,0.013305603,0.450166273
157,31.8,-0.178185129,-0.069796679,0.02204824,0.454063116
158,32,-0.193050177,-0.058414997,0.013882451,0.458985569
159,32.2,-0.201551128,-0.043631131,0.010907821,0.459616097
160,32.4,-0.210502629,-0.049154376,0.020477028,0.463348698
161,32.6,-0.221212878,-0.0622861,0.009532727,0.467806908
162,32.8,-0.235417069,-0.071704604,-0.004572571,0.467161789
163,33,-0.24989472,-0.070821068,0.001320429,0.465977879
164,33.2,-0.263745496,-0.078952158,0.007875755,0.46768996
165,33.4,-0.281475583,-0.077990037,0.008263572,0.469128181
166,33.6,-0.294941511,-0.068267966,0.008135566,0.470995389
167,33.8,-0.308782769,-0.087622852,-0.002558996,0.472382408
168,34,-0.329990652,-0.082086312,-0.003151741,0.469971791
169,34.2,-0.341617294,-0.04702699,0.000730202,0.471121712
170,34.4,-0.348801448,-0.066047527,7.08E-05,0.470263872
