X,Y
0.00000,179.956
0.01657,161.867
0.03314,136.533
0.04971,102.933
0.06628,65.067
0.08285,49.667
0.09942,44.489
0.11599,40.444
0.13256,38.289
0.14913,36.689
0.16570,34.644
0.18227,32.911
0.19884,31.667
0.21541,30.133
0.23198,28.578
0.24855,27.511
0.26512,27.156
0.28169,27.689
0.29826,28.089
0.31483,28.867
0.33140,29.222
0.34797,29.533
0.36454,30.178
0.38111,30.867
0.39768,31.422
0.41425,31.600
0.43082,31.333
0.44739,31.067
0.46396,31.422
0.48053,31.600
0.49710,31.356
0.51367,31.133
0.53024,31.044
0.54681,30.756
0.56338,30.400
0.57995,29.778
0.59652,29.533
0.61309,28.867
0.62966,27.733
0.64623,27.711
0.66280,27.489
0.67937,27.889
0.69594,29.578
0.71251,31.000
0.72908,30.889
0.74565,31.600
0.76222,32.200
0.77879,31.467
0.79536,30.356
0.81193,28.733
0.82850,26.800
0.84507,25.778
0.86164,25.133
0.87821,25.178
0.89478,26.578
0.91135,28.622
0.92792,29.733
0.94449,29.667
0.96106,28.622
0.97763,27.089
0.99420,24.800
1.01077,22.733
1.02734,22.000
1.04391,21.889
1.06048,21.889
1.07705,21.889
1.09362,22.733
1.11019,23.556
1.12676,25.178
1.14333,26.022
1.15990,26.667
1.17647,27.067
1.19304,26.578
1.20961,26.156
1.22618,26.600
1.24275,26.933
1.25932,26.733
1.27589,26.511
1.29246,26.622
1.30903,26.867
1.32560,26.600
1.34217,25.778
1.35874,25.022
1.37531,25.267
1.39188,25.978
1.40845,26.533
1.42502,27.067
1.44159,27.556
1.45816,27.867
1.47473,27.889
1.49130,28.022
1.50787,28.133
1.52444,28.022
1.54101,28.267
1.55758,29.489
1.57415,31.311
1.59072,31.844
1.60729,32.244
1.62386,33.244
1.64043,34.422
1.65700,34.600
1.67357,34.578
1.69014,34.733
1.70671,35.489
1.72328,35.800
1.73985,35.356
1.75642,34.556
1.77299,33.822
1.78956,33.111
1.80613,32.044
1.82270,32.400
1.83927,32.622
1.85584,33.156
1.87241,33.378
1.88898,33.289
1.90555,33.711
1.92212,33.267
1.93869,32.844
1.95526,31.778
1.97183,31.978
1.98840,32.000
2.00497,31.689
2.02154,31.511
2.03811,31.667
2.05468,32.022
2.07125,30.800
2.08782,29.978
2.10439,29.933
2.12096,31.222
2.13753,32.489
2.15410,33.133
2.17067,33.556
2.18724,33.711
2.20381,34.067
2.22038,35.133
2.23695,37.333
2.25352,39.756
2.27009,41.867
2.28666,43.089
2.30323,42.556
2.31980,40.111
2.33637,38.289
2.35294,37.867
2.36951,37.244
2.38608,36.111
2.40265,35.267
2.41922,34.733
2.43579,34.533
2.45236,34.244
2.46893,34.244
2.48550,34.689
2.50207,35.756
2.51864,35.978
2.53521,35.844
2.55178,35.867
2.56835,37.600
2.58492,40.311
2.60149,45.067
2.61806,51.200
2.63463,57.000
2.65120,60.756
2.66777,60.067
2.68434,55.933
2.70091,52.289
2.71748,50.000
2.73405,48.111
2.75062,45.244
2.76719,43.667
2.78376,42.444
2.80033,42.867
2.81690,44.044
2.83347,43.800
2.85004,43.044
2.86661,42.422
2.88318,42.533
2.89975,42.711
2.91632,42.800
2.93289,43.133
2.94946,43.822
2.96603,44.444
2.98260,44.733
2.99917,45.756
3.01574,46.422
3.03231,46.733
3.04888,46.333
3.06545,46.222
3.08202,45.000
3.09859,43.800
3.11516,44.933
3.13173,46.689
3.14830,48.578
3.16487,52.178
3.18144,56.911
3.19801,62.933
3.21458,67.778
3.23115,71.200
3.24772,74.689
3.26429,79.756
3.28086,85.467
3.29743,92.267
3.31400,97.911
3.33057,100.822
3.34714,99.400
3.36371,97.644
