Kinetic_Energy	Total_Stp_Pow	CSDA_Range	Projected_Range

8.500E+01	8.687E+01	5.447E-01	5.444E-01	
9.000E+01	8.295E+01	6.036E-01	6.033E-01	
9.500E+01	7.940E+01	6.652E-01	6.649E-01	
1.000E+02	7.618E+01	7.295E-01	7.291E-01	
1.250E+02	6.363E+01	1.090E+00	1.090E+00	
1.500E+02	5.496E+01	1.514E+00	1.514E+00	
1.750E+02	4.859E+01	1.999E+00	1.998E+00	
2.000E+02	4.370E+01	2.543E+00	2.542E+00	
2.250E+02	3.983E+01	3.143E+00	3.141E+00	
2.500E+02	3.668E+01	3.798E+00	3.796E+00	
2.750E+02	3.406E+01	4.506E+00	4.504E+00	
3.000E+02	3.185E+01	5.265E+00	5.263E+00	
3.500E+02	2.833E+01	6.933E+00	6.930E+00	
4.000E+02	2.564E+01	8.791E+00	8.788E+00	
4.500E+02	2.352E+01	1.083E+01	1.083E+01	
5.000E+02	2.179E+01	1.304E+01	1.304E+01	
5.500E+02	2.037E+01	1.542E+01	1.541E+01	
6.000E+02	1.917E+01	1.795E+01	1.794E+01	
6.500E+02	1.815E+01	2.063E+01	2.062E+01	
7.000E+02	1.727E+01	2.345E+01	2.345E+01	
7.500E+02	1.651E+01	2.642E+01	2.641E+01	
8.000E+02	1.583E+01	2.951E+01	2.950E+01	
8.500E+02	1.524E+01	3.273E+01	3.272E+01	
9.000E+02	1.470E+01	3.607E+01	3.606E+01	
9.500E+02	1.422E+01	3.953E+01	3.952E+01	
1.000E+03	1.379E+01	4.310E+01	4.309E+01	
