X,Y
0.00000,127.111
0.01657,107.574
0.03314,86.093
0.04971,56.815
0.06628,44.037
0.08285,37.204
0.09942,34.167
0.11599,33.204
0.13256,32.611
0.14913,32.278
0.16570,32.630
0.18227,33.833
0.19884,36.074
0.21541,38.074
0.23198,39.278
0.24855,39.204
0.26512,39.481
0.28169,39.019
0.29826,37.852
0.31483,36.722
0.33140,35.222
0.34797,33.926
0.36454,31.259
0.38111,29.556
0.39768,28.796
0.41425,28.630
0.43082,28.778
0.44739,28.593
0.46396,27.704
0.48053,27.333
0.49710,27.407
0.51367,27.333
0.53024,27.389
0.54681,27.148
0.56338,27.222
0.57995,27.481
0.59652,28.130
0.61309,30.148
0.62966,32.130
0.64623,32.722
0.66280,33.370
0.67937,34.056
0.69594,35.019
0.71251,35.870
0.72908,37.481
0.74565,40.019
0.76222,42.741
0.77879,46.481
0.79536,49.315
0.81193,49.981
0.82850,50.167
0.84507,49.481
0.86164,45.796
0.87821,37.426
0.89478,29.833
0.91135,27.407
0.92792,27.019
0.94449,26.981
0.96106,27.389
0.97763,27.796
0.99420,28.407
1.01077,29.111
1.02734,29.296
1.04391,28.556
1.06048,28.093
1.07705,28.685
1.09362,29.296
1.11019,30.000
1.12676,30.296
1.14333,31.019
1.15990,31.537
1.17647,32.167
1.19304,32.296
1.20961,33.074
1.22618,33.426
1.24275,33.815
1.25932,34.426
1.27589,35.093
1.29246,35.352
1.30903,35.278
1.32560,36.296
1.34217,37.222
1.35874,37.222
1.37531,37.111
1.39188,36.370
1.40845,35.648
1.42502,35.630
1.44159,36.370
1.45816,37.963
1.47473,39.333
1.49130,40.222
1.50787,40.278
1.52444,39.407
1.54101,38.037
1.55758,36.741
1.57415,37.222
1.59072,37.741
1.60729,37.204
1.62386,36.722
1.64043,36.111
1.65700,36.759
1.67357,38.148
1.69014,42.926
1.70671,48.259
1.72328,53.222
1.73985,55.241
1.75642,57.463
1.77299,57.963
1.78956,56.074
1.80613,51.352
1.82270,47.296
1.83927,44.574
1.85584,44.333
1.87241,44.833
1.88898,45.370
1.90555,44.407
1.92212,44.019
1.93869,44.759
1.95526,47.000
1.97183,49.259
1.98840,50.981
2.00497,52.315
2.02154,53.204
2.03811,53.722
2.05468,53.963
2.07125,55.389
2.08782,58.648
2.10439,61.407
2.12096,63.037
2.13753,64.278
2.15410,66.204
2.17067,68.667
2.18724,70.259
2.20381,69.611
2.22038,69.333
2.23695,69.056
2.25352,68.741
2.27009,68.981
2.28666,69.481
2.30323,69.037
2.31980,69.241
2.33637,70.204
2.35294,70.852
2.36951,70.759
2.38608,68.722
2.40265,67.907
2.41922,68.074
2.43579,69.352
2.45236,70.907
2.46893,73.704
2.48550,76.537
2.50207,78.907
2.51864,79.000
2.53521,79.000
2.55178,78.852
2.56835,77.815
2.58492,75.704
2.60149,74.278
2.61806,73.463
2.63463,73.426
2.65120,73.648
2.66777,73.519
2.68434,75.870
2.70091,82.130
2.71748,88.352
2.73405,92.148
2.75062,93.648
2.76719,94.019
2.78376,93.148
2.80033,89.278
2.81690,84.352
2.83347,81.759
2.85004,80.907
2.86661,81.056
2.88318,80.352
2.89975,79.481
2.91632,79.630
2.93289,81.259
2.94946,82.463
2.96603,82.611
2.98260,82.667
2.99917,83.685
3.01574,85.037
3.03231,86.019
3.04888,86.241
3.06545,86.019
3.08202,84.167
3.09859,81.778
3.11516,81.241
3.13173,81.667
3.14830,82.241
3.16487,81.833
3.18144,80.815
3.19801,79.889
3.21458,78.352
3.23115,78.407
3.24772,78.481
3.26429,78.407
3.28086,79.037
3.29743,79.444
3.31400,78.944
3.33057,78.944
3.34714,80.296
3.36371,82.352
3.38028,84.167
3.39685,84.759
3.41342,85.704
3.42999,85.574
3.44656,83.481
3.46313,82.537
3.47970,82.519
3.49627,81.611
3.51284,81.167
3.52941,81.333
3.54598,81.593
3.56255,80.685
3.57912,78.630
3.59569,74.333
3.61226,68.130
3.62883,62.759
3.64540,59.148
3.66197,59.111
3.67854,59.852
