X,Y
0.00000,125.148
0.01657,94.519
0.03314,63.204
0.04971,48.519
0.06628,43.907
0.08285,40.759
0.09942,37.667
0.11599,34.593
0.13256,31.778
0.14913,30.167
0.16570,29.037
0.18227,28.056
0.19884,26.870
0.21541,25.926
0.23198,25.167
0.24855,24.704
0.26512,24.333
0.28169,23.963
0.29826,23.704
0.31483,22.944
0.33140,22.593
0.34797,21.556
0.36454,20.500
0.38111,19.926
0.39768,19.907
0.41425,20.407
0.43082,20.278
0.44739,20.204
0.46396,19.778
0.48053,19.463
0.49710,19.111
0.51367,19.000
0.53024,18.889
0.54681,18.537
0.56338,18.722
0.57995,18.704
0.59652,18.981
0.61309,19.444
0.62966,20.204
0.64623,20.852
0.66280,21.556
0.67937,21.667
0.69594,21.556
0.71251,22.222
0.72908,22.315
0.74565,22.981
0.76222,23.519
0.77879,24.111
0.79536,25.704
0.81193,28.185
0.82850,31.556
0.84507,33.056
0.86164,32.315
0.87821,29.926
0.89478,25.537
0.91135,23.185
0.92792,22.148
0.94449,21.463
0.96106,21.278
0.97763,21.296
0.99420,21.278
1.01077,21.074
1.02734,21.296
1.04391,21.333
1.06048,21.741
1.07705,21.944
1.09362,21.944
1.11019,21.593
1.12676,20.796
1.14333,20.352
1.15990,20.593
1.17647,21.185
1.19304,22.444
1.20961,23.241
1.22618,23.426
1.24275,23.407
1.25932,22.815
1.27589,22.111
1.29246,22.167
1.30903,22.667
1.32560,22.537
1.34217,22.167
1.35874,21.407
1.37531,20.926
1.39188,21.056
1.40845,21.611
1.42502,22.111
1.44159,22.389
1.45816,22.963
1.47473,23.000
1.49130,22.759
1.50787,21.815
1.52444,21.500
1.54101,21.389
1.55758,21.537
1.57415,21.981
1.59072,22.481
1.60729,22.537
1.62386,22.926
1.64043,23.944
1.65700,26.093
1.67357,29.944
1.69014,34.907
1.70671,39.833
1.72328,44.370
1.73985,47.148
1.75642,47.944
1.77299,48.944
1.78956,50.815
1.80613,53.796
1.82270,57.463
1.83927,61.537
1.85584,63.944
1.87241,63.889
1.88898,61.944
1.90555,59.333
1.92212,56.796
1.93869,54.056
1.95526,51.222
1.97183,47.463
1.98840,43.889
2.00497,39.963
2.02154,36.852
2.03811,34.685
2.05468,32.870
2.07125,31.463
2.08782,31.093
2.10439,30.685
2.12096,30.333
2.13753,30.333
2.15410,30.019
2.17067,29.648
2.18724,29.481
2.20381,29.500
2.22038,29.889
2.23695,30.241
2.25352,30.741
2.27009,30.611
2.28666,29.630
2.30323,28.648
2.31980,27.796
2.33637,26.870
2.35294,26.722
2.36951,26.759
2.38608,27.389
2.40265,28.704
2.41922,29.444
2.43579,30.667
2.45236,31.741
2.46893,33.815
2.48550,36.111
2.50207,38.056
2.51864,39.796
2.53521,42.519
2.55178,44.426
2.56835,46.593
2.58492,48.111
2.60149,49.796
2.61806,51.407
2.63463,52.481
2.65120,54.093
2.66777,57.148
2.68434,58.130
2.70091,59.315
2.71748,58.944
2.73405,59.537
2.75062,60.722
2.76719,62.093
2.78376,63.241
2.80033,64.611
2.81690,67.000
2.83347,69.870
2.85004,70.889
2.86661,69.444
2.88318,66.148
2.89975,63.185
2.91632,60.556
2.93289,58.574
2.94946,57.333
2.96603,56.037
2.98260,55.444
2.99917,54.648
3.01574,54.907
3.03231,55.407
3.04888,56.852
3.06545,57.222
3.08202,57.944
3.09859,58.000
3.11516,58.093
3.13173,58.481
3.14830,57.648
3.16487,57.148
3.18144,57.130
3.19801,57.389
3.21458,57.352
3.23115,56.852
3.24772,55.648
3.26429,54.519
3.28086,53.685
3.29743,52.704
3.31400,52.074
3.33057,51.519
3.34714,52.537
3.36371,52.611
3.38028,52.778
3.39685,53.259
3.41342,52.833
3.42999,51.611
3.44656,49.815
3.46313,48.981
3.47970,47.815
3.49627,44.796
