X,Y
0.00000,155.815
0.01657,117.019
0.03314,68.556
0.04971,49.963
0.06628,46.000
0.08285,43.759
0.09942,38.130
0.11599,34.574
0.13256,33.296
0.14913,32.167
0.16570,31.056
0.18227,30.667
0.19884,30.167
0.21541,29.796
0.23198,29.019
0.24855,28.019
0.26512,27.463
0.28169,27.463
0.29826,27.611
0.31483,28.241
0.33140,29.037
0.34797,29.537
0.36454,30.074
0.38111,30.259
0.39768,30.500
0.41425,30.593
0.43082,30.259
0.44739,29.907
0.46396,29.704
0.48053,29.407
0.49710,29.241
0.51367,29.093
0.53024,28.815
0.54681,28.815
0.56338,28.741
0.57995,28.204
0.59652,27.426
0.61309,26.852
0.62966,26.315
0.64623,26.278
0.66280,26.722
0.67937,27.537
0.69594,28.500
0.71251,29.000
0.72908,28.944
0.74565,28.148
0.76222,27.074
0.77879,25.352
0.79536,24.056
0.81193,23.648
0.82850,23.222
0.84507,22.537
0.86164,22.444
0.87821,22.944
0.89478,23.185
0.91135,22.963
0.92792,23.259
0.94449,23.519
0.96106,24.037
0.97763,24.500
0.99420,25.019
1.01077,25.130
1.02734,25.722
1.04391,26.037
1.06048,26.389
1.07705,27.037
1.09362,27.426
1.11019,27.630
1.12676,27.981
1.14333,28.481
1.15990,28.611
1.17647,28.574
1.19304,28.167
1.20961,28.056
1.22618,28.389
1.24275,28.852
1.25932,29.481
1.27589,30.037
1.29246,30.333
1.30903,30.185
1.32560,30.056
1.34217,30.148
1.35874,30.667
1.37531,31.056
1.39188,31.778
1.40845,32.889
1.42502,34.204
1.44159,34.593
1.45816,34.611
1.47473,34.778
1.49130,34.722
1.50787,34.556
1.52444,35.204
1.54101,36.852
1.55758,41.074
1.57415,49.278
1.59072,59.389
1.60729,68.519
1.62386,72.630
1.64043,72.630
1.65700,67.185
1.67357,58.963
1.69014,53.463
1.70671,51.463
1.72328,50.222
1.73985,49.259
1.75642,48.167
1.77299,47.556
1.78956,47.315
1.80613,47.444
1.82270,48.370
1.83927,48.537
1.85584,48.889
1.87241,49.259
1.88898,49.778
1.90555,51.352
1.92212,53.537
1.93869,55.333
1.95526,56.222
1.97183,57.537
1.98840,58.389
2.00497,59.204
2.02154,60.722
2.03811,61.593
2.05468,62.981
2.07125,66.370
2.08782,75.556
2.10439,89.296
2.12096,106.537
2.13753,123.741
2.15410,140.815
2.17067,151.130
2.18724,159.593
2.20381,167.333
2.22038,171.315
2.23695,166.352
2.25352,155.148
2.27009,144.370
2.28666,130.722
2.30323,115.481
2.31980,104.556
2.33637,99.611
2.35294,96.870
2.36951,96.167
2.38608,97.019
2.40265,98.907
2.41922,101.167
2.43579,101.981
2.45236,102.704
2.46893,101.759
2.48550,101.185
2.50207,100.907
2.51864,101.500
2.53521,103.722
2.55178,106.074
2.56835,106.315
2.58492,106.352
2.60149,108.111
2.61806,111.500
2.63463,118.500
2.65120,124.815
2.66777,128.722
2.68434,130.074
2.70091,129.093
2.71748,128.167
2.73405,129.759
2.75062,130.815
2.76719,132.222
2.78376,133.556
2.80033,134.315
2.81690,135.241
2.83347,136.296
2.85004,137.259
2.86661,139.074
2.88318,141.426
2.89975,144.167
2.91632,145.667
2.93289,147.685
2.94946,150.296
2.96603,151.426
2.98260,152.981
2.99917,153.241
3.01574,154.037
3.03231,155.111
3.04888,157.315
3.06545,159.870
3.08202,162.870
3.09859,164.019
3.11516,164.426
3.13173,164.963
3.14830,165.611
3.16487,166.148
3.18144,166.889
3.19801,167.444
3.21458,167.556
3.23115,167.537
3.24772,167.519
3.26429,168.389
3.28086,169.167
3.29743,169.000
3.31400,168.222
3.33057,167.222
3.34714,166.889
3.36371,166.796
3.38028,166.222
3.39685,165.444
3.41342,163.444
3.42999,159.648
3.44656,153.407
3.46313,143.685
3.47970,131.481
3.49627,117.963
3.51284,108.833
3.52941,105.481
