X,Y
0.00000,174.650
0.01657,156.967
0.03314,129.967
0.04971,89.500
0.06628,53.350
0.08285,46.167
0.09942,42.917
0.11599,39.833
0.13256,38.100
0.14913,37.350
0.16570,35.633
0.18227,33.867
0.19884,32.550
0.21541,31.483
0.23198,29.967
0.24855,28.717
0.26512,28.133
0.28169,27.633
0.29826,27.433
0.31483,27.083
0.33140,27.383
0.34797,28.333
0.36454,28.633
0.38111,28.733
0.39768,28.783
0.41425,29.050
0.43082,29.333
0.44739,29.867
0.46396,29.883
0.48053,29.833
0.49710,29.583
0.51367,29.233
0.53024,28.900
0.54681,28.200
0.56338,27.400
0.57995,26.417
0.59652,26.400
0.61309,26.483
0.62966,26.483
0.64623,26.400
0.66280,26.700
0.67937,27.200
0.69594,27.633
0.71251,27.900
0.72908,28.267
0.74565,28.250
0.76222,28.000
0.77879,27.867
0.79536,27.433
0.81193,25.967
0.82850,24.817
0.84507,24.500
0.86164,24.283
0.87821,24.767
0.89478,25.383
0.91135,25.550
0.92792,25.417
0.94449,25.050
0.96106,24.500
0.97763,24.167
0.99420,24.183
1.01077,25.000
1.02734,25.083
1.04391,25.100
1.06048,25.383
1.07705,26.417
1.09362,27.633
1.11019,28.850
1.12676,30.350
1.14333,31.600
1.15990,31.967
1.17647,31.867
1.19304,31.883
1.20961,31.650
1.22618,31.467
1.24275,31.800
1.25932,32.217
1.27589,33.083
1.29246,33.883
1.30903,34.367
1.32560,34.867
1.34217,36.683
1.35874,38.583
1.37531,41.017
1.39188,44.167
1.40845,46.333
1.42502,47.233
1.44159,48.917
1.45816,51.217
1.47473,51.900
1.49130,52.550
1.50787,51.917
1.52444,54.133
1.54101,57.250
1.55758,61.117
1.57415,65.150
1.59072,72.050
1.60729,81.417
1.62386,88.433
1.64043,92.767
1.65700,93.583
1.67357,90.017
1.69014,84.900
1.70671,81.967
1.72328,80.217
1.73985,79.317
1.75642,80.850
1.77299,81.500
1.78956,83.383
1.80613,84.367
1.82270,84.783
1.83927,85.567
1.85584,86.750
1.87241,86.567
1.88898,86.700
1.90555,86.400
1.92212,86.833
1.93869,87.517
1.95526,86.967
1.97183,87.567
1.98840,89.133
2.00497,91.117
2.02154,92.567
2.03811,93.783
2.05468,95.667
2.07125,96.450
2.08782,98.917
2.10439,105.383
2.12096,115.883
2.13753,130.267
2.15410,144.700
2.17067,157.400
2.18724,164.517
2.20381,168.550
2.22038,171.117
2.23695,172.267
2.25352,166.800
2.27009,158.433
2.28666,146.883
2.30323,130.700
2.31980,118.850
2.33637,113.883
2.35294,110.983
2.36951,109.367
2.38608,109.317
2.40265,110.433
2.41922,111.350
2.43579,112.217
2.45236,112.883
2.46893,113.417
2.48550,114.067
2.50207,113.833
2.51864,114.867
2.53521,115.617
2.55178,116.450
2.56835,118.117
2.58492,120.767
2.60149,122.950
2.61806,127.250
2.63463,134.033
2.65120,143.967
2.66777,149.800
2.68434,151.567
2.70091,150.500
2.71748,147.433
2.73405,145.100
2.75062,144.150
2.76719,144.167
2.78376,144.700
2.80033,144.333
2.81690,144.317
2.83347,144.117
2.85004,144.967
2.86661,146.333
2.88318,146.733
2.89975,147.350
2.91632,149.000
2.93289,149.867
2.94946,152.317
2.96603,153.533
2.98260,154.033
2.99917,155.000
3.01574,155.617
3.03231,155.833
3.04888,154.950
3.06545,154.367
3.08202,155.000
3.09859,155.983
3.11516,156.967
3.13173,158.300
3.14830,159.167
3.16487,161.767
3.18144,164.767
3.19801,167.833
3.21458,172.567
3.23115,177.800
3.24772,184.133
3.26429,189.233
3.28086,192.450
3.29743,194.517
3.31400,196.417
3.33057,198.850
3.34714,201.200
3.36371,204.333
3.38028,207.633
3.39685,211.567
3.41342,214.683
3.42999,216.833
3.44656,216.417
3.46313,213.583
3.47970,208.133
3.49627,199.700
3.51284,193.900
3.52941,189.633
3.54598,180.983
3.56255,168.083
3.57912,150.917
3.59569,127.650
3.61226,101.317
3.62883,78.250
