X,Y
0.00000,156.389
0.01657,119.019
0.03314,66.926
0.04971,47.907
0.06628,44.667
0.08285,43.019
0.09942,40.037
0.11599,37.056
0.13256,34.463
0.14913,32.981
0.16570,31.759
0.18227,30.444
0.19884,29.352
0.21541,28.259
0.23198,27.074
0.24855,26.074
0.26512,25.352
0.28169,25.648
0.29826,26.833
0.31483,27.333
0.33140,27.519
0.34797,28.241
0.36454,28.907
0.38111,29.148
0.39768,28.444
0.41425,28.074
0.43082,28.259
0.44739,28.944
0.46396,29.037
0.48053,29.185
0.49710,29.500
0.51367,29.611
0.53024,29.519
0.54681,29.278
0.56338,28.981
0.57995,28.204
0.59652,27.630
0.61309,27.019
0.62966,26.574
0.64623,26.556
0.66280,26.944
0.67937,27.630
0.69594,27.889
0.71251,27.926
0.72908,27.741
0.74565,27.111
0.76222,26.019
0.77879,25.111
0.79536,24.019
0.81193,23.389
0.82850,23.019
0.84507,22.759
0.86164,22.759
0.87821,22.741
0.89478,22.204
0.91135,21.963
0.92792,22.296
0.94449,23.037
0.96106,23.481
0.97763,23.685
0.99420,23.481
1.01077,23.500
1.02734,23.426
1.04391,23.537
1.06048,24.463
1.07705,25.963
1.09362,27.333
1.11019,28.222
1.12676,28.019
1.14333,27.556
1.15990,27.241
1.17647,27.204
1.19304,26.944
1.20961,27.204
1.22618,27.796
1.24275,28.574
1.25932,28.833
1.27589,29.074
1.29246,28.963
1.30903,28.944
1.32560,29.074
1.34217,28.926
1.35874,28.759
1.37531,29.259
1.39188,29.852
1.40845,31.130
1.42502,33.111
1.44159,33.926
1.45816,34.074
1.47473,34.037
1.49130,33.444
1.50787,33.037
1.52444,33.481
1.54101,34.370
1.55758,35.333
1.57415,41.000
1.59072,51.593
1.60729,59.741
1.62386,64.444
1.64043,64.815
1.65700,59.148
1.67357,49.741
1.69014,43.630
1.70671,39.741
1.72328,37.111
1.73985,36.259
1.75642,36.278
1.77299,36.370
1.78956,36.815
1.80613,37.000
1.82270,36.204
1.83927,35.352
1.85584,34.481
1.87241,33.241
1.88898,32.204
1.90555,31.352
1.92212,31.204
1.93869,31.056
1.95526,31.481
1.97183,32.519
1.98840,33.056
2.00497,33.444
2.02154,33.685
2.03811,35.148
2.05468,36.426
2.07125,38.815
2.08782,46.648
2.10439,58.296
2.12096,72.315
2.13753,89.981
2.15410,107.611
2.17067,120.759
2.18724,135.056
2.20381,147.370
2.22038,151.463
2.23695,147.722
2.25352,135.741
2.27009,123.519
2.28666,104.630
2.30323,79.944
2.31980,61.833
2.33637,50.759
2.35294,45.574
2.36951,43.741
2.38608,42.426
2.40265,42.093
2.41922,42.204
2.43579,41.926
2.45236,42.000
2.46893,41.722
2.48550,40.926
2.50207,40.796
2.51864,41.944
2.53521,42.204
2.55178,42.259
2.56835,42.074
2.58492,42.481
2.60149,44.037
2.61806,48.444
2.63463,55.667
2.65120,65.296
2.66777,70.315
2.68434,71.204
2.70091,70.315
2.71748,67.000
2.73405,63.574
2.75062,61.667
2.76719,61.037
2.78376,60.130
2.80033,59.407
2.81690,59.611
2.83347,59.407
2.85004,60.870
2.86661,62.667
2.88318,64.630
2.89975,65.963
2.91632,67.741
2.93289,68.926
2.94946,70.241
2.96603,70.500
2.98260,69.407
2.99917,66.889
3.01574,65.241
3.03231,66.389
3.04888,68.185
3.06545,70.222
3.08202,73.000
3.09859,74.241
3.11516,74.889
3.13173,73.630
3.14830,72.019
3.16487,71.204
3.18144,70.074
3.19801,68.296
3.21458,65.426
3.23115,63.667
3.24772,62.778
3.26429,63.056
3.28086,64.000
3.29743,65.093
3.31400,66.537
3.33057,68.056
3.34714,69.519
3.36371,70.370
3.38028,70.611
3.39685,72.130
3.41342,74.315
3.42999,74.963
3.44656,75.630
3.46313,76.315
3.47970,75.944
3.49627,76.148
3.51284,80.667
3.52941,88.315
