X,Y
0.00000,175.352
0.01657,124.889
0.03314,66.111
0.04971,48.556
0.06628,44.056
0.08285,38.778
0.09942,34.593
0.11599,33.259
0.13256,32.556
0.14913,32.185
0.16570,32.389
0.18227,32.315
0.19884,32.000
0.21541,31.389
0.23198,30.778
0.24855,30.037
0.26512,29.463
0.28169,29.148
0.29826,28.870
0.31483,28.574
0.33140,27.889
0.34797,27.481
0.36454,27.315
0.38111,28.056
0.39768,27.944
0.41425,27.444
0.43082,26.593
0.44739,26.222
0.46396,26.130
0.48053,26.426
0.49710,27.019
0.51367,27.167
0.53024,25.944
0.54681,25.222
0.56338,25.574
0.57995,25.370
0.59652,25.519
0.61309,25.648
0.62966,25.907
0.64623,25.907
0.66280,25.944
0.67937,26.407
0.69594,27.093
0.71251,29.278
0.72908,30.944
0.74565,31.667
0.76222,31.907
0.77879,31.833
0.79536,31.352
0.81193,31.074
0.82850,30.889
0.84507,29.648
0.86164,29.259
0.87821,29.056
0.89478,28.630
0.91135,28.648
0.92792,29.148
0.94449,29.759
0.96106,30.222
0.97763,30.593
0.99420,30.537
1.01077,29.926
1.02734,29.370
1.04391,28.907
1.06048,28.815
1.07705,28.444
1.09362,28.000
1.11019,27.667
1.12676,26.944
1.14333,26.722
1.15990,26.852
1.17647,27.148
1.19304,27.389
1.20961,27.296
1.22618,27.500
1.24275,27.667
1.25932,28.241
1.27589,28.611
1.29246,29.074
1.30903,29.407
1.32560,29.870
1.34217,30.444
1.35874,30.722
1.37531,30.741
1.39188,30.852
1.40845,31.204
1.42502,31.500
1.44159,31.648
1.45816,31.519
1.47473,31.037
1.49130,31.056
1.50787,32.241
1.52444,32.870
1.54101,34.000
1.55758,35.463
1.57415,37.259
1.59072,42.537
1.60729,58.167
1.62386,80.685
1.64043,99.444
1.65700,114.130
1.67357,118.389
1.69014,110.148
1.70671,90.944
1.72328,64.000
1.73985,44.037
1.75642,36.722
1.77299,35.722
1.78956,35.556
1.80613,35.167
1.82270,35.352
1.83927,36.889
1.85584,40.185
1.87241,42.444
1.88898,43.611
1.90555,42.981
1.92212,41.519
1.93869,39.370
1.95526,37.963
1.97183,36.889
1.98840,36.000
2.00497,35.130
2.02154,34.815
2.03811,34.556
2.05468,34.500
2.07125,35.426
2.08782,36.722
2.10439,38.463
2.12096,40.130
2.13753,40.759
2.15410,41.352
2.17067,42.056
2.18724,42.741
2.20381,42.815
2.22038,42.593
2.23695,42.074
2.25352,41.000
2.27009,39.574
2.28666,38.815
2.30323,38.796
2.31980,39.241
2.33637,38.778
2.35294,37.556
2.36951,36.481
2.38608,36.926
2.40265,38.241
2.41922,40.500
2.43579,42.593
2.45236,43.148
2.46893,42.667
2.48550,42.037
2.50207,42.148
2.51864,42.685
2.53521,43.296
2.55178,44.500
2.56835,49.407
2.58492,64.889
2.60149,86.444
2.61806,95.111
2.63463,97.981
2.65120,97.556
2.66777,88.315
2.68434,67.167
2.70091,54.648
2.71748,50.463
2.73405,47.185
2.75062,45.259
2.76719,44.796
2.78376,45.315
2.80033,46.204
2.81690,47.130
2.83347,48.111
2.85004,48.500
2.86661,48.685
2.88318,49.000
2.89975,49.741
2.91632,50.556
2.93289,50.019
2.94946,49.852
2.96603,51.111
2.98260,53.352
2.99917,55.833
3.01574,57.815
3.03231,59.278
3.04888,59.852
3.06545,58.833
3.08202,56.870
3.09859,55.667
3.11516,55.296
3.13173,55.611
3.14830,56.741
3.16487,57.315
3.18144,58.241
3.19801,59.574
3.21458,61.463
3.23115,62.759
3.24772,62.889
3.26429,63.481
3.28086,64.111
3.29743,64.519
3.31400,65.463
3.33057,66.741
3.34714,67.648
3.36371,68.259
3.38028,68.778
3.39685,69.056
