X,Y
0.00000,120.9815
0.01657,83.7593
0.03314,50.5185
0.04971,37.5926
0.06628,34.6296
0.08285,33.6852
0.09942,33.3333
0.11599,33.5185
0.13256,34.3333
0.14913,35.9259
0.16570,37.0000
0.18227,37.6296
0.19884,37.7963
0.21541,37.5556
0.23198,36.3333
0.24855,34.5000
0.26512,32.7778
0.28169,31.6111
0.29826,30.2407
0.31483,28.8148
0.33140,27.7593
0.34797,27.5370
0.36454,27.7407
0.38111,27.7407
0.39768,27.7778
0.41425,27.7037
0.43082,27.3519
0.44739,26.4815
0.46396,25.7593
0.48053,25.4074
0.49710,25.7037
0.51367,25.5000
0.53024,25.1481
0.54681,24.9630
0.56338,25.0185
0.57995,24.8148
0.59652,24.6481
0.61309,24.2222
0.62966,24.3148
0.64623,24.7963
0.66280,25.6852
0.67937,26.2963
0.69594,29.0000
0.71251,32.2222
0.72908,34.5926
0.74565,38.2778
0.76222,40.7778
0.77879,42.3704
0.79536,42.9444
0.81193,41.5741
0.82850,37.7037
0.84507,33.6667
0.86164,30.9630
0.87821,28.9630
0.89478,27.5741
0.91135,27.1111
0.92792,26.4259
0.94449,26.3148
0.96106,26.8148
0.97763,27.5926
0.99420,27.9815
1.01077,28.3704
1.02734,28.8519
1.04391,29.2593
1.06048,29.4630
1.07705,29.2222
1.09362,28.7963
1.11019,28.1667
1.12676,28.2037
1.14333,28.2778
1.15990,28.2778
1.17647,28.1111
1.19304,28.5926
1.20961,30.0185
1.22618,31.1667
1.24275,31.5370
1.25932,31.3333
1.27589,31.2037
1.29246,30.8889
1.30903,30.5370
1.32560,30.0741
1.34217,29.6296
1.35874,29.4074
1.37531,29.8148
1.39188,29.7222
1.40845,29.1111
1.42502,29.0926
1.44159,29.3889
1.45816,29.9444
1.47473,30.0926
1.49130,30.2963
1.50787,30.5556
1.52444,30.8889
1.54101,30.5926
1.55758,30.7037
1.57415,30.8704
1.59072,31.4259
1.60729,31.5000
1.62386,33.2963
1.64043,37.7593
1.65700,44.6852
1.67357,50.3889
1.69014,55.2222
1.70671,58.4444
1.72328,57.8148
1.73985,51.2037
1.75642,43.9444
1.77299,38.6852
1.78956,36.5000
1.80613,35.7593
1.82270,35.8148
1.83927,36.4815
1.85584,37.0556
1.87241,37.2963
1.88898,37.1481
1.90555,37.0741
1.92212,37.3519
1.93869,38.0926
1.95526,38.2222
1.97183,38.8333
1.98840,39.3889
2.00497,40.6852
2.02154,42.3333
2.03811,44.2222
2.05468,46.0741
2.07125,47.9444
2.08782,49.2593
2.10439,50.1111
2.12096,50.5185
2.13753,50.8704
2.15410,50.9444
2.17067,49.7593
2.18724,49.9815
2.20381,51.5000
2.22038,53.0926
2.23695,55.0000
2.25352,57.5741
2.27009,59.4815
2.28666,59.6667
2.30323,59.1852
2.31980,59.7778
2.33637,62.4259
2.35294,63.9444
2.36951,63.4074
2.38608,63.9815
2.40265,64.6296
2.41922,65.7593
2.43579,68.4074
2.45236,71.4259
2.46893,73.0556
2.48550,73.7778
2.50207,73.3148
2.51864,74.1667
2.53521,73.9259
2.55178,74.0185
2.56835,76.2778
2.58492,77.6111
2.60149,78.2778
2.61806,78.9630
2.63463,78.9444
2.65120,79.7593
2.66777,82.1111
2.68434,83.9444
2.70091,84.9630
2.71748,85.5556
2.73405,85.5741
2.75062,84.5000
2.76719,83.7222
2.78376,83.7593
2.80033,83.4259
2.81690,83.9630
2.83347,84.8333
2.85004,86.1111
2.86661,88.9259
2.88318,92.5556
2.89975,95.1296
2.91632,101.3519
2.93289,105.4630
2.94946,110.7963
2.96603,113.7778
2.98260,114.6111
2.99917,114.7037
3.01574,114.0741
3.03231,110.2222
3.04888,107.4074
3.06545,104.5926
3.08202,103.1111
3.09859,106.0000
3.11516,109.0000
3.13173,110.8148
3.14830,111.2037
3.16487,109.3148
3.18144,106.3704
3.19801,101.0370
3.21458,96.1852
3.23115,95.7593
3.24772,97.3333
3.26429,99.1111
3.28086,99.1481
3.29743,98.2778
3.31400,98.4815
3.33057,97.9259
3.34714,97.2778
3.36371,96.0741
3.38028,94.5185
3.39685,92.3889
3.41342,89.3704
3.42999,87.0741
3.44656,85.4444
3.46313,83.5741
3.47970,82.2407
3.49627,80.8889
3.51284,79.5185
3.52941,77.9444
3.54598,76.2407
3.56255,74.2037
3.57912,70.7593
3.59569,67.0185
3.61226,63.5000
3.62883,61.5185
3.64540,56.5741
3.66197,50.3148
3.67854,46.7963
