X,Y
0.00000,95.381
0.01657,49.857
0.03314,42.262
0.04971,37.381
0.06628,34.952
0.08285,33.429
0.09942,32.429
0.11599,31.333
0.13256,31.167
0.14913,31.190
0.16570,30.786
0.18227,30.833
0.19884,30.619
0.21541,29.929
0.23198,28.929
0.24855,28.214
0.26512,27.952
0.28169,27.167
0.29826,26.976
0.31483,26.667
0.33140,26.500
0.34797,26.286
0.36454,26.214
0.38111,26.214
0.39768,26.119
0.41425,26.619
0.43082,27.643
0.44739,27.786
0.46396,27.190
0.48053,26.000
0.49710,25.405
0.51367,24.976
0.53024,24.667
0.54681,23.976
0.56338,23.405
0.57995,22.714
0.59652,22.762
0.61309,23.405
0.62966,24.429
0.64623,25.310
0.66280,26.310
0.67937,29.500
0.69594,34.667
0.71251,39.738
0.72908,44.667
0.74565,47.548
0.76222,47.476
0.77879,41.310
0.79536,35.929
0.81193,32.310
0.82850,29.857
0.84507,29.619
0.86164,29.381
0.87821,29.667
0.89478,30.143
0.91135,30.333
0.92792,30.714
0.94449,31.357
0.96106,30.619
0.97763,30.476
0.99420,30.548
1.01077,30.619
1.02734,30.571
1.04391,30.881
1.06048,31.786
1.07705,32.238
1.09362,32.667
1.11019,32.881
1.12676,32.952
1.14333,32.714
1.15990,32.524
1.17647,32.857
1.19304,34.143
1.20961,35.381
1.22618,36.690
1.24275,39.500
1.25932,41.119
1.27589,42.762
1.29246,43.095
1.30903,43.905
1.32560,45.929
1.34217,47.905
1.35874,49.643
1.37531,51.762
1.39188,51.952
1.40845,51.119
1.42502,49.286
1.44159,48.833
1.45816,51.190
1.47473,55.857
1.49130,59.881
1.50787,60.262
1.52444,61.214
1.54101,61.429
1.55758,62.048
1.57415,64.000
1.59072,70.714
1.60729,80.595
1.62386,88.429
1.64043,91.048
1.65700,91.881
1.67357,89.500
1.69014,80.000
1.70671,72.548
1.72328,69.310
1.73985,69.024
1.75642,71.405
1.77299,73.048
1.78956,75.071
1.80613,79.214
1.82270,88.214
1.83927,92.381
1.85584,93.595
1.87241,93.405
1.88898,92.690
1.90555,90.429
1.92212,86.857
1.93869,84.643
1.95526,82.190
1.97183,78.405
1.98840,74.262
2.00497,71.667
2.02154,70.571
2.03811,71.024
2.05468,71.000
2.07125,70.357
2.08782,70.262
2.10439,70.119
2.12096,70.143
2.13753,70.429
2.15410,70.857
2.17067,72.238
2.18724,74.119
2.20381,76.643
2.22038,78.429
2.23695,79.286
2.25352,80.286
2.27009,82.167
2.28666,81.976
2.30323,80.643
2.31980,78.833
2.33637,79.881
2.35294,81.429
2.36951,83.333
2.38608,85.310
2.40265,88.167
2.41922,91.048
2.43579,92.952
2.45236,96.143
2.46893,98.095
2.48550,99.524
2.50207,100.976
2.51864,101.929
2.53521,102.643
2.55178,103.524
2.56835,109.357
2.58492,119.024
2.60149,127.333
2.61806,132.952
2.63463,136.071
2.65120,135.452
2.66777,133.667
2.68434,129.595
2.70091,125.857
2.71748,123.143
2.73405,119.881
2.75062,117.381
2.76719,115.095
2.78376,115.071
2.80033,116.595
2.81690,120.571
2.83347,125.071
2.85004,127.595
2.86661,128.381
2.88318,129.500
2.89975,129.643
2.91632,129.667
2.93289,130.024
2.94946,131.595
2.96603,132.881
2.98260,133.595
2.99917,133.905
3.01574,134.333
3.03231,135.286
3.04888,134.976
3.06545,135.286
3.08202,136.595
3.09859,137.333
3.11516,135.833
3.13173,134.714
3.14830,132.619
3.16487,129.952
3.18144,129.286
3.19801,130.238
3.21458,130.119
3.23115,128.905
3.24772,129.119
3.26429,130.143
3.28086,129.452
3.29743,128.381
3.31400,128.167
3.33057,127.762
3.34714,124.667
3.36371,122.262
3.38028,120.571
3.39685,119.429
3.41342,117.833
3.42999,114.667
3.44656,110.024
3.46313,103.857
3.47970,96.714
3.49627,90.405
3.51284,85.571
