X,Y
0.00000,134.519
0.01657,88.630
0.03314,53.463
0.04971,46.815
0.06628,42.407
0.08285,38.907
0.09942,35.796
0.11599,34.741
0.13256,34.593
0.14913,33.630
0.16570,32.463
0.18227,31.611
0.19884,31.407
0.21541,31.370
0.23198,30.574
0.24855,29.444
0.26512,28.574
0.28169,28.167
0.29826,28.074
0.31483,27.611
0.33140,26.574
0.34797,25.963
0.36454,25.741
0.38111,25.852
0.39768,26.389
0.41425,26.519
0.43082,26.130
0.44739,25.630
0.46396,25.000
0.48053,24.722
0.49710,25.537
0.51367,26.333
0.53024,26.500
0.54681,25.241
0.56338,24.444
0.57995,24.574
0.59652,24.296
0.61309,24.389
0.62966,25.130
0.64623,25.870
0.66280,26.130
0.67937,26.556
0.69594,29.333
0.71251,33.500
0.72908,38.278
0.74565,42.037
0.76222,44.630
0.77879,44.778
0.79536,42.093
0.81193,36.315
0.82850,32.204
0.84507,29.481
0.86164,28.481
0.87821,28.500
0.89478,29.037
0.91135,29.981
0.92792,30.222
0.94449,29.407
0.96106,28.963
0.97763,28.778
0.99420,27.852
1.01077,27.574
1.02734,27.444
1.04391,27.463
1.06048,27.352
1.07705,27.204
1.09362,26.889
1.11019,26.759
1.12676,27.296
1.14333,27.593
1.15990,26.833
1.17647,25.963
1.19304,25.667
1.20961,26.259
1.22618,26.852
1.24275,27.630
1.25932,28.019
1.27589,28.463
1.29246,29.333
1.30903,30.722
1.32560,31.926
1.34217,33.130
1.35874,33.944
1.37531,34.574
1.39188,34.426
1.40845,33.722
1.42502,32.630
1.44159,31.870
1.45816,31.574
1.47473,31.926
1.49130,32.963
1.50787,34.574
1.52444,36.667
1.54101,37.222
1.55758,37.130
1.57415,36.241
1.59072,36.907
1.60729,41.315
1.62386,50.130
1.64043,58.444
1.65700,64.852
1.67357,67.259
1.69014,66.870
1.70671,58.593
1.72328,47.426
1.73985,41.167
1.75642,39.889
1.77299,42.148
1.78956,44.926
1.80613,46.315
1.82270,49.222
1.83927,53.944
1.85584,58.889
1.87241,60.611
1.88898,62.833
1.90555,64.870
1.92212,62.815
1.93869,57.130
1.95526,54.630
1.97183,52.407
1.98840,48.963
2.00497,44.963
2.02154,40.444
2.03811,38.222
2.05468,37.463
2.07125,37.148
2.08782,37.204
2.10439,37.370
2.12096,38.167
2.13753,38.963
2.15410,39.759
2.17067,40.093
2.18724,40.296
2.20381,40.204
2.22038,40.000
2.23695,38.778
2.25352,38.259
2.27009,38.407
2.28666,38.130
2.30323,38.444
2.31980,39.111
2.33637,40.074
2.35294,39.833
2.36951,40.593
2.38608,42.056
2.40265,43.741
2.41922,44.315
2.43579,43.741
2.45236,41.963
2.46893,41.130
2.48550,41.315
2.50207,40.981
2.51864,41.648
2.53521,42.074
2.55178,42.648
2.56835,43.241
2.58492,45.333
2.60149,53.722
2.61806,67.185
2.63463,75.389
2.65120,79.426
2.66777,80.315
2.68434,79.426
2.70091,69.963
2.71748,60.370
2.73405,55.000
2.75062,53.685
2.76719,53.463
2.78376,53.556
2.80033,52.870
2.81690,52.759
2.83347,56.537
2.85004,63.000
2.86661,68.889
2.88318,73.407
2.89975,74.296
2.91632,72.963
2.93289,70.648
2.94946,68.037
2.96603,65.537
2.98260,63.426
2.99917,61.093
3.01574,60.111
3.03231,60.926
3.04888,61.333
3.06545,61.648
3.08202,62.852
3.09859,64.241
3.11516,64.685
3.13173,63.500
3.14830,61.944
3.16487,61.685
3.18144,61.870
3.19801,60.963
3.21458,59.852
3.23115,59.389
3.24772,60.204
3.26429,61.426
3.28086,62.296
3.29743,64.241
3.31400,67.389
3.33057,69.759
3.34714,70.796
3.36371,70.037
3.38028,68.352
3.39685,66.685
3.41342,65.741
3.42999,65.519
3.44656,66.370
3.46313,67.722
3.47970,69.241
3.49627,70.611
3.51284,71.685
3.52941,72.204
3.54598,73.074
3.56255,75.407
3.57912,80.759
3.59569,83.833
3.61226,84.407
3.62883,83.481
3.64540,83.204
3.66197,81.759
3.67854,78.981
3.69511,77.463
3.71168,77.037
3.72825,77.278
3.74482,77.722
3.76139,76.056
3.77796,73.870
3.79453,71.815
3.81110,72.259
