X,Y
0.00000,122.093
0.01657,91.296
0.03314,61.296
0.04971,47.796
0.06628,43.407
0.08285,40.426
0.09942,37.889
0.11599,35.019
0.13256,32.241
0.14913,30.296
0.16570,28.722
0.18227,27.685
0.19884,26.852
0.21541,26.185
0.23198,25.722
0.24855,25.630
0.26512,25.537
0.28169,25.630
0.29826,25.111
0.31483,24.463
0.33140,23.722
0.34797,22.259
0.36454,21.352
0.38111,21.148
0.39768,21.296
0.41425,20.759
0.43082,19.593
0.44739,18.926
0.46396,18.481
0.48053,18.167
0.49710,18.074
0.51367,18.574
0.53024,19.574
0.54681,19.796
0.56338,19.593
0.57995,19.056
0.59652,19.167
0.61309,19.963
0.62966,21.333
0.64623,22.407
0.66280,23.481
0.67937,23.685
0.69594,23.444
0.71251,23.370
0.72908,23.852
0.74565,24.907
0.76222,26.648
0.77879,28.093
0.79536,30.019
0.81193,32.333
0.82850,34.111
0.84507,34.444
0.86164,33.463
0.87821,30.778
0.89478,26.796
0.91135,24.796
0.92792,23.444
0.94449,22.204
0.96106,21.130
0.97763,20.556
0.99420,20.426
1.01077,20.407
1.02734,20.500
1.04391,20.833
1.06048,21.963
1.07705,22.667
1.09362,22.815
1.11019,22.778
1.12676,22.889
1.14333,22.815
1.15990,22.463
1.17647,22.241
1.19304,22.130
1.20961,22.296
1.22618,22.722
1.24275,23.500
1.25932,24.296
1.27589,24.704
1.29246,24.981
1.30903,25.926
1.32560,26.704
1.34217,26.833
1.35874,27.074
1.37531,26.759
1.39188,26.648
1.40845,26.704
1.42502,26.907
1.44159,27.037
1.45816,27.704
1.47473,29.093
1.49130,30.019
1.50787,30.407
1.52444,30.278
1.54101,30.370
1.55758,30.778
1.57415,31.333
1.59072,32.593
1.60729,34.352
1.62386,36.185
1.64043,39.333
1.65700,43.093
1.67357,47.630
1.69014,54.259
1.70671,60.759
1.72328,65.259
1.73985,68.296
1.75642,68.667
1.77299,68.630
1.78956,70.889
1.80613,75.704
1.82270,80.407
1.83927,84.722
1.85584,87.833
1.87241,88.500
1.88898,87.963
1.90555,84.463
1.92212,82.981
1.93869,81.074
1.95526,79.722
1.97183,77.222
1.98840,73.944
2.00497,70.444
2.02154,67.796
2.03811,66.037
2.05468,64.944
2.07125,64.963
2.08782,65.296
2.10439,66.500
2.12096,68.944
2.13753,72.222
2.15410,73.944
2.17067,75.407
2.18724,75.907
2.20381,77.963
2.22038,78.111
2.23695,78.000
2.25352,78.870
2.27009,78.463
2.28666,79.815
2.30323,82.093
2.31980,83.519
2.33637,85.315
2.35294,87.056
2.36951,87.778
2.38608,89.315
2.40265,90.759
2.41922,92.741
2.43579,93.074
2.45236,95.426
2.46893,98.537
2.48550,101.981
2.50207,104.722
2.51864,107.130
2.53521,110.167
2.55178,113.056
2.56835,114.648
2.58492,115.000
2.60149,114.796
2.61806,114.981
2.63463,115.537
2.65120,117.315
2.66777,118.056
2.68434,118.648
2.70091,120.204
2.71748,119.537
2.73405,118.833
2.75062,118.611
2.76719,119.037
2.78376,118.907
2.80033,119.833
2.81690,123.315
2.83347,125.037
2.85004,125.722
2.86661,126.222
2.88318,125.944
2.89975,125.833
2.91632,123.296
2.93289,121.722
2.94946,120.519
2.96603,119.481
2.98260,118.778
2.99917,118.389
3.01574,119.278
3.03231,119.111
3.04888,120.056
3.06545,120.463
3.08202,121.370
3.09859,119.259
3.11516,118.426
3.13173,116.333
3.14830,113.556
3.16487,114.037
3.18144,114.037
3.19801,114.389
3.21458,114.111
3.23115,113.019
3.24772,111.185
3.26429,108.630
3.28086,105.852
3.29743,102.833
3.31400,100.685
3.33057,99.463
3.34714,98.870
3.36371,98.222
3.38028,96.759
3.39685,93.222
3.41342,87.370
3.42999,80.037
3.44656,71.019
3.46313,63.981
3.47970,56.667
3.49627,49.778
