 	Area	Mean	StdDev	Min	Max	XM	YM	Angle	Length
1	0.044	76.634	34.958	33.155	255	0	0	162.646	2.557
2	0.043	71.848	35.596	36.633	144.947	0	0	132.274	2.52
3	0.039	57.054	49.595	24.912	255	0	0	0.431	2.255
4	0.045	63.953	47.57	27.753	255	0	0	-17.266	2.627
5	0.046	79.964	49.112	31.139	255	0	0	-13.861	2.689
6	0.041	59.476	36.472	33.038	255	0	0	136.425	2.41
7	0.038	77.757	51.211	30.874	255	0	0	52.512	2.2
8	0.044	57.092	46.781	29.229	255	0	0	57.558	2.591
9	0.043	68.113	56.925	27.054	255	0	0	-30.033	2.506
10	0.044	67.551	43.487	33.545	255	0	0	137.42	2.555
11	0.036	56.26	33.762	30.123	255	0	0	127.235	2.129
12	0.041	76.624	56.708	29.333	255	0	0	75.769	2.413
13	0.049	67.86	37.359	36.933	255	0	0	-177.306	2.885
14	0.044	48.181	22.321	29.588	129.119	0	0	-49.521	2.585
15	0.036	63.611	51.306	28.588	255	0	0	-5.11	2.093
16	0.039	64.57	56.867	30.898	255	0	0	7.707	2.275
17	0.039	57.416	46.801	29.099	255	0	0	-31.915	2.277
18	0.037	74.385	51.495	32.988	255	0	0	58.805	2.16
19	0.04	69.147	51.103	30.416	255	0	0	122.76	2.318
20	0.04	61.628	50.655	28.667	255	0	0	7.023	2.357
21	0.042	57.83	39.57	28.828	255	0	0	63.435	2.464
22	0.047	73.26	44.993	33.543	255	0	0	172.219	2.754
23	0.041	71.692	56.584	28.489	255	0	0	-39.806	2.383
24	0.049	72.55	51.928	29.176	255	0	0	-12.894	2.887
25	0.051	61.625	30.807	35	255	0	0	-177.748	3.02
26	0.038	60.28	38.767	28.566	255	0	0	-117.738	2.222
27	0.037	78.254	49.538	33.07	255	0	0	171.051	2.179
28	0.055	68.865	45.696	29.38	255	0	0	14.47	3.256
29	0.063	60.324	45.284	28.819	255	0	0	-16.345	3.674
30	0.047	72.956	53.77	28.294	255	0	0	-34.563	2.779
31	0.037	78.581	41.734	34.31	226.667	0	0	-10.869	2.158
32	0.038	54.758	20.998	33.481	134	0	0	120.51	2.204
33	0.054	80.253	52.198	34.561	255	0	0	-175.083	3.164
34	0.036	56.566	52.518	25.803	255	0	0	115.346	2.138
35	0.041	92.172	64.969	32.778	255	0	0	39.232	2.385
36	0.038	67.348	57.06	25.538	255	0	0	114.007	2.208
37	0.048	67.669	43.879	28.829	255	0	0	135.731	2.817
38	0.05	116.014	60.639	52	255	0	0	-162.408	2.916
39	0.053	86.429	44.073	42.557	255	0	0	-179.685	3.085
40	0.046	72.637	59.706	31.01	255	0	0	-157.132	2.704
41	0.045	65.178	40.765	30.084	255	0	0	171.085	2.625
42	0.045	80.574	44.108	47.957	255	0	0	-169.129	2.606
43	0.044	73.714	55.661	28.479	255	0	0	-14.589	2.557
44	0.043	69.837	49.944	28.996	255	0	0	-35.716	2.526
45	0.039	66.838	47.988	30.18	255	0	0	19.654	2.268
46	0.062	88.826	58.111	32.399	255	0	0	121.555	3.66
47	0.04	58.357	34.601	32.333	255	0	0	166.165	2.339
48	0.034	53.759	25.704	31.222	132.685	0	0	129.428	1.975
49	0.043	71.695	39.358	31.004	232	0	0	52.595	2.539
50	0.037	60.657	53.043	30.151	255	0	0	7.684	2.155
51	0.036	63.634	61.135	30	255	0	0	-11.936	2.131
52	0.047	62.732	40.499	30.175	255	0	0	51.45	2.774
53	0.053	69.645	42.762	31.125	255	0	0	18.138	3.104
54	0.039	65.553	47.949	28.008	255	0	0	144.162	2.258
55	0.036	61.6	41.923	25.274	255	0	0	117.392	2.1
56	0.05	87.829	49.417	38.638	255	0	0	179.007	2.933
57	0.046	61.372	37.599	30.741	255	0	0	49.87	2.683
58	0.036	66.293	34.116	26.25	161.333	0	0	107.409	2.096
59	0.043	57.509	35.691	29.935	255	0	0	170.036	2.547
60	0.035	54.773	29.458	33	250	0	0	136.655	2.074
61	0.034	56.016	28.42	34.706	254.667	0	0	121.293	2.023
62	0.047	68.726	40.761	35.537	255	0	0	-174.325	2.743
63	0.049	61.379	50.866	28.683	255	0	0	-9.407	2.904
64	0.043	62.766	42.849	29.198	255	0	0	49.399	2.5
65	0.045	70.601	45.14	28.372	255	0	0	157.996	2.669
66	0.038	58.495	30.983	34.185	254	0	0	121.492	2.207
67	0.046	73.706	54.921	26.842	255	0	0	-33.69	2.689
68	0.043	88.721	51.556	31.872	255	0	0	53.207	2.519
69	0.041	75.105	60.298	29.466	255	0	0	20.837	2.43
70	0.045	63.366	25.443	36.741	167.333	0	0	177.447	2.664
71	0.049	66.106	32.126	25.667	255	0	0	106.409	2.88
72	0.035	61.096	45.665	30.404	255	0	0	147.349	2.074
73	0.047	78.076	46.695	31.028	222.333	0	0	26.25	2.759
74	0.045	61.079	24.503	30.234	106.398	0	0	170.72	2.628
75	0.039	73.064	58.265	28.059	255	0	0	64.957	2.283
76	0.037	71.681	52.698	30.537	255	0	0	55.561	2.158
77	0.051	79.38	57.376	30.677	255	0	0	27.728	2.987
78	0.052	54.438	26.012	28.738	215.333	0	0	66.843	3.06
79	0.044	68.478	58.229	25.146	255	0	0	-43.668	2.578
80	0.041	67.371	52.149	29.772	255	0	0	-14.931	2.368
81	0.047	58.715	41.232	28.804	255	0	0	165.541	2.783
