X,Y
0.00000,36.537
0.01657,36.019
0.03314,36.074
0.04971,37.519
0.06628,40.926
0.08285,43.537
0.09942,46.093
0.11599,47.593
0.13256,48.222
0.14913,46.870
0.16570,45.556
0.18227,43.426
0.19884,38.926
0.21541,34.519
0.23198,31.426
0.24855,30.148
0.26512,29.167
0.28169,28.833
0.29826,27.741
0.31483,27.093
0.33140,26.796
0.34797,26.759
0.36454,27.259
0.38111,27.407
0.39768,26.611
0.41425,26.093
0.43082,26.148
0.44739,26.519
0.46396,26.056
0.48053,25.537
0.49710,25.037
0.51367,24.537
0.53024,24.315
0.54681,24.352
0.56338,24.500
0.57995,24.556
0.59652,24.407
0.61309,23.630
0.62966,23.130
0.64623,22.963
0.66280,22.722
0.67937,22.907
0.69594,23.481
0.71251,24.407
0.72908,26.444
0.74565,28.926
0.76222,31.833
0.77879,35.537
0.79536,40.685
0.81193,45.630
0.82850,47.963
0.84507,46.630
0.86164,42.944
0.87821,38.426
0.89478,34.130
0.91135,31.370
0.92792,29.907
0.94449,29.907
0.96106,29.611
0.97763,29.741
0.99420,30.148
1.01077,30.778
1.02734,31.315
1.04391,32.796
1.06048,33.926
1.07705,34.778
1.09362,36.000
1.11019,37.870
1.12676,40.463
1.14333,43.667
1.15990,47.574
1.17647,50.093
1.19304,53.056
1.20961,55.222
1.22618,57.667
1.24275,58.685
1.25932,58.963
1.27589,58.296
1.29246,58.852
1.30903,58.000
1.32560,57.148
1.34217,57.704
1.35874,58.537
1.37531,58.722
1.39188,58.370
1.40845,58.000
1.42502,60.981
1.44159,64.093
1.45816,66.741
1.47473,70.463
1.49130,72.370
1.50787,73.759
1.52444,74.241
1.54101,75.685
1.55758,76.167
1.57415,76.259
1.59072,76.852
1.60729,76.722
1.62386,77.648
1.64043,79.407
1.65700,80.630
1.67357,80.259
1.69014,80.648
1.70671,83.000
1.72328,91.852
1.73985,105.648
1.75642,117.204
1.77299,131.204
1.78956,145.370
1.80613,158.463
1.82270,166.074
1.83927,166.019
1.85584,155.481
1.87241,131.778
1.88898,110.722
1.90555,97.500
1.92212,91.889
1.93869,87.944
1.95526,85.222
1.97183,82.759
1.98840,82.056
2.00497,82.889
2.02154,83.722
2.03811,86.778
2.05468,89.870
2.07125,92.759
2.08782,94.981
2.10439,95.963
2.12096,97.944
2.13753,99.741
2.15410,100.537
2.17067,101.259
2.18724,103.519
2.20381,105.352
2.22038,105.519
2.23695,106.259
2.25352,107.907
2.27009,109.574
2.28666,109.889
2.30323,110.167
2.31980,110.685
2.33637,109.852
2.35294,109.759
2.36951,112.093
2.38608,114.241
2.40265,117.148
2.41922,119.259
2.43579,120.222
2.45236,120.833
2.46893,122.667
2.48550,124.556
2.50207,124.500
2.51864,124.481
2.53521,124.167
2.55178,125.630
2.56835,127.500
2.58492,128.981
2.60149,129.926
2.61806,130.463
2.63463,131.370
2.65120,133.407
2.66777,133.667
2.68434,134.741
2.70091,136.611
2.71748,138.370
2.73405,138.870
2.75062,140.333
2.76719,145.889
2.78376,152.648
2.80033,157.704
2.81690,158.222
2.83347,155.056
2.85004,152.667
2.86661,147.537
2.88318,144.259
2.89975,144.241
2.91632,144.741
2.93289,143.333
2.94946,140.944
2.96603,136.926
2.98260,131.407
2.99917,125.130
3.01574,121.870
3.03231,119.185
3.04888,117.407
3.06545,115.648
3.08202,114.074
3.09859,112.389
3.11516,110.000
3.13173,107.722
3.14830,106.870
3.16487,104.981
3.18144,102.389
3.19801,99.519
3.21458,96.167
3.23115,91.981
3.24772,88.167
