X,Y
0.00000,97.481
0.01657,54.315
0.03314,46.722
0.04971,43.370
0.06628,38.278
0.08285,34.352
0.09942,32.926
0.11599,32.111
0.13256,31.889
0.14913,31.704
0.16570,31.630
0.18227,30.833
0.19884,30.130
0.21541,29.204
0.23198,28.389
0.24855,27.815
0.26512,27.463
0.28169,27.148
0.29826,27.537
0.31483,28.352
0.33140,27.833
0.34797,26.889
0.36454,26.278
0.38111,26.222
0.39768,26.167
0.41425,25.370
0.43082,25.315
0.44739,25.630
0.46396,25.796
0.48053,26.148
0.49710,26.537
0.51367,26.519
0.53024,26.148
0.54681,25.278
0.56338,24.481
0.57995,24.074
0.59652,23.778
0.61309,23.463
0.62966,23.407
0.64623,23.963
0.66280,25.074
0.67937,26.481
0.69594,28.074
0.71251,29.296
0.72908,30.259
0.74565,31.389
0.76222,31.333
0.77879,31.130
0.79536,30.815
0.81193,29.981
0.82850,28.333
0.84507,27.111
0.86164,26.741
0.87821,27.185
0.89478,28.111
0.91135,28.796
0.92792,28.778
0.94449,28.130
0.96106,27.815
0.97763,27.741
0.99420,27.426
1.01077,26.926
1.02734,26.759
1.04391,27.037
1.06048,27.741
1.07705,28.000
1.09362,27.500
1.11019,26.870
1.12676,26.481
1.14333,26.944
1.15990,27.944
1.17647,29.130
1.19304,29.574
1.20961,29.667
1.22618,29.593
1.24275,29.259
1.25932,28.759
1.27589,28.833
1.29246,28.370
1.30903,28.241
1.32560,29.056
1.34217,29.667
1.35874,30.722
1.37531,32.074
1.39188,33.204
1.40845,33.815
1.42502,33.593
1.44159,32.852
1.45816,32.241
1.47473,32.037
1.49130,32.648
1.50787,33.981
1.52444,35.315
1.54101,36.852
1.55758,39.500
1.57415,48.222
1.59072,65.815
1.60729,86.963
1.62386,104.667
1.64043,114.370
1.65700,110.741
1.67357,100.074
1.69014,83.037
1.70671,61.019
1.72328,43.444
1.73985,38.796
1.75642,36.667
1.77299,35.926
1.78956,36.500
1.80613,38.759
1.82270,41.778
1.83927,45.741
1.85584,49.537
1.87241,51.815
1.88898,51.759
1.90555,50.056
1.92212,47.722
1.93869,45.648
1.95526,43.889
1.97183,43.389
1.98840,43.241
2.00497,42.963
2.02154,42.778
2.03811,42.889
2.05468,43.944
2.07125,45.796
2.08782,48.130
2.10439,51.241
2.12096,53.944
2.13753,55.852
2.15410,56.852
2.17067,57.278
2.18724,57.204
2.20381,57.056
2.22038,57.148
2.23695,56.315
2.25352,55.074
2.27009,53.778
2.28666,52.093
2.30323,50.722
2.31980,49.426
2.33637,48.259
2.35294,49.074
2.36951,51.463
2.38608,53.926
2.40265,56.222
2.41922,57.926
2.43579,58.352
2.45236,58.407
2.46893,58.722
2.48550,58.630
2.50207,58.944
2.51864,60.167
2.53521,63.500
2.55178,71.593
2.56835,88.963
2.58492,105.093
2.60149,109.889
2.61806,110.167
2.63463,107.407
2.65120,96.019
2.66777,78.537
2.68434,69.796
2.70091,68.389
2.71748,70.611
2.73405,71.870
2.75062,72.833
2.76719,72.407
2.78376,73.593
2.80033,74.759
2.81690,75.981
2.83347,78.111
2.85004,80.611
2.86661,82.556
2.88318,83.667
2.89975,84.019
2.91632,85.852
2.93289,89.000
2.94946,92.889
2.96603,95.741
2.98260,96.722
2.99917,96.722
3.01574,97.852
3.03231,99.481
3.04888,100.407
3.06545,100.889
3.08202,101.204
3.09859,101.704
3.11516,103.278
3.13173,105.630
3.14830,107.241
3.16487,109.167
3.18144,113.278
3.19801,116.463
3.21458,117.648
3.23115,118.500
3.24772,119.389
3.26429,120.611
3.28086,122.093
3.29743,122.426
3.31400,123.444
3.33057,124.259
3.34714,124.759
3.36371,124.389
3.38028,124.796
3.39685,126.593
3.41342,128.407
3.42999,130.870
3.44656,133.500
3.46313,136.222
3.47970,138.111
3.49627,139.759
3.51284,140.463
3.52941,142.593
3.54598,147.093
3.56255,152.074
3.57912,155.685
3.59569,161.519
3.61226,174.926
3.62883,191.537
3.64540,200.944
3.66197,207.259
3.67854,210.963
3.69511,212.574
3.71168,209.074
3.72825,206.019
3.74482,198.019
3.76139,187.426
3.77796,174.648
3.79453,161.370
3.81110,154.463
3.82767,151.611
3.84424,147.722
3.86081,145.037
3.87738,143.870
3.89395,142.611
3.91052,138.722
3.92709,133.074
3.94366,127.833
3.96023,121.741
3.97680,116.370
3.99337,113.500
4.00994,111.704
4.02651,110.741
4.04308,110.111
4.05965,109.815
