 	Area	Mean	StdDev	Min	Max	XM	YM	Angle	Length
123	0.047	59.11	38.537	27.796	255	0	0	102.865	2.798
124	0.064	47.814	34.446	27.667	255	0	0	90	3.788
125	0.06	58.311	36.87	24.662	218.667	0	0	113.66	3.566
126	0.05	52.433	33.526	26.7	255	0	0	121.522	2.963
127	0.044	58.142	32.026	28.966	251.333	0	0	63.768	2.59
128	0.05	38.959	27.866	22.052	255	0	0	-15.767	2.974
129	0.065	65.234	35.725	26.642	255	0	0	107.25	3.861
130	0.056	51.741	19.758	28.006	168	0	0	83.341	3.339
131	0.042	72.938	52.681	26.536	255	0	0	158.99	2.489
132	0.059	69.456	51.78	27.598	255	0	0	144.398	3.5
133	0.055	59.323	47.947	26.591	255	0	0	49.431	3.236
134	0.052	64.282	49.855	19.607	255	0	0	8.794	3.084
135	0.059	55.691	50.72	20.098	255	0	0	22.471	3.48
136	0.051	54.213	43.669	22.791	255	0	0	33.158	3.017
137	0.056	54.096	30.897	28.136	255	0	0	110.384	3.287
138	0.052	42.268	17.15	26.967	116.803	0	0	86.248	3.088
139	0.056	49.79	26.865	28.128	170.455	0	0	74.491	3.337
140	0.062	74.911	39.962	27.246	255	0	0	152.254	3.653
141	0.067	50.808	27.697	28.546	255	0	0	93.381	3.997
142	0.048	76.534	44.187	32.251	255	0	0	59.036	2.847
