t,x,y,v_{x},v_{y}
3.800000000E1,8.480719056E-4,3.207766749E-4,2.925607537E-6,-5.824275303E-5
3.820000000E1,8.482011692E-4,3.061240686E-4,8.742559830E-6,-6.264375017E-5
3.840000000E1,8.515689295E-4,2.957191748E-4,3.685024931E-6,-5.598193261E-5
3.860000000E1,8.496751791E-4,2.837312956E-4,-1.059261766E-5,-4.990963579E-5
3.880000000E1,8.473318824E-4,2.757553205E-4,-6.283220987E-6,-3.071744316E-5
3.900000000E1,8.471618907E-4,2.714443183E-4,4.868542218E-6,-4.794308464E-5
3.920000000E1,8.492792993E-4,2.565780867E-4,-5.100590530E-6,-5.893008060E-5
3.940000000E1,8.451216545E-4,2.478722861E-4,-2.499421491E-5,-4.307985395E-5
3.960000000E1,8.392816134E-4,2.393461451E-4,-3.489268510E-5,-4.217114398E-5
3.980000000E1,8.311645805E-4,2.310038285E-4,-4.552580572E-5,-5.873606507E-5
4.000000000E1,8.210712911E-4,2.158517190E-4,-4.109950804E-5,-6.890230127E-5
4.020000000E1,8.147247773E-4,2.034429080E-4,-2.483752912E-5,-5.596506862E-5
4.040000000E1,8.111362794E-4,1.934656916E-4,-2.447419337E-5,-6.418765822E-5
4.060000000E1,8.049350999E-4,1.777678447E-4,-2.728875088E-5,-7.260245814E-5
4.080000000E1,8.002207791E-4,1.644247083E-4,-1.194374956E-5,-6.085141374E-5
4.100000000E1,8.001576001E-4,1.534272792E-4,-1.027227557E-5,-4.250775458E-5
4.120000000E1,7.961118688E-4,1.474216065E-4,-2.816232418E-5,-2.412841475E-5
4.140000000E1,7.888926704E-4,1.437759133E-4,-1.218597586E-5,-3.969321662E-5
4.160000000E1,7.912374785E-4,1.315443199E-4,1.567334055E-5,-5.687159105E-5
4.180000000E1,7.951620066E-4,1.210272769E-4,2.005567325E-5,-4.415635207E-5
4.200000000E1,7.992597478E-4,1.138817790E-4,8.491082162E-6,-4.017553365E-5
4.220000000E1,7.985584395E-4,1.049570634E-4,-1.179584618E-5,-4.732382146E-5
4.240000000E1,7.945414093E-4,9.495225045E-5,-9.237883290E-6,-5.381385831E-5
4.260000000E1,7.948632862E-4,8.343152008E-5,-7.104807674E-6,-5.377089157E-5
4.280000000E1,7.916994863E-4,7.344389382E-5,-9.575389122E-6,-4.660979195E-5
4.300000000E1,7.910331305E-4,6.478760330E-5,-8.944411342E-6,-5.041740832E-5
4.320000000E1,7.881217217E-4,5.327693049E-5,-1.996706940E-5,-5.937003085E-5
4.340000000E1,7.830463028E-4,4.103959096E-5,-2.456431418E-5,-6.403878297E-5
4.360000000E1,7.782959961E-4,2.766141730E-5,-2.106910286E-5,-7.389551570E-5
4.380000000E1,7.746186616E-4,1.148138468E-5,-1.783582240E-5,-6.774537607E-5
4.400000000E1,7.711616671E-4,5.632668761E-7,-1.978966745E-5,-5.030934125E-5
4.420000000E1,7.667027947E-4,-8.642351815E-6,-1.366438790E-5,-5.589171714E-5
4.440000000E1,7.656959119E-4,-2.179341998E-5,6.854751507E-6,-4.582098655E-5
4.460000000E1,7.694446953E-4,-2.697074643E-5,3.039891871E-5,-2.423525082E-5
4.480000000E1,7.778554794E-4,-3.148752031E-5,2.103312409E-5,-3.019741491E-5
4.500000000E1,7.778579449E-4,-3.904971240E-5,1.186879899E-5,-3.446682059E-5
4.520000000E1,7.826029990E-4,-4.527424854E-5,1.833078438E-5,-3.545677495E-5
4.540000000E1,7.851902586E-4,-5.323242238E-5,1.358211673E-5,-3.434011276E-5
4.560000000E1,7.880358457E-4,-5.901029365E-5,1.658661935E-5,-2.853154052E-5
4.580000000E1,7.918249064E-4,-6.464503859E-5,1.316715561E-5,-5.193767501E-5
4.600000000E1,7.933027079E-4,-7.978536365E-5,4.537986757E-6,-6.427923617E-5
4.620000000E1,7.936401011E-4,-9.035673306E-5,6.748280084E-6,-3.831001021E-5
4.640000000E1,7.960020200E-4,-9.510936773E-5,3.352740064E-5,-2.383391081E-5
4.660000000E1,8.070510613E-4,-9.989029738E-5,4.990692834E-5,-2.030349614E-5
4.680000000E1,8.159647913E-4,-1.032307662E-4,2.616127088E-5,-2.133745370E-5
4.700000000E1,8.175155697E-4,-1.084252789E-4,2.223310847E-5,-3.088586561E-5
4.720000000E1,8.248580347E-4,-1.155851124E-4,5.746173280E-5,-3.415894649E-5
4.740000000E1,8.405002628E-4,-1.220888575E-4,5.986235477E-5,-3.509488290E-5
4.760000000E1,8.488029766E-4,-1.296230656E-4,3.884169598E-5,-2.926399277E-5
4.780000000E1,8.560369412E-4,-1.337944546E-4,4.060997678E-5,-1.832194488E-5
4.800000000E1,8.650469673E-4,-1.369518435E-4,3.921490546E-5,-1.836799748E-5
4.820000000E1,8.717229034E-4,-1.411416536E-4,2.541664126E-5,2.771289012E-5
4.840000000E1,8.752136238E-4,-1.258666875E-4,1.739787849E-5,9.149592707E-5
4.860000000E1,8.786820548E-4,-1.045432827E-4,2.093143482E-5,1.101598996E-4
4.880000000E1,8.835861978E-4,-8.180272764E-5,1.375931767E-5,1.243636256E-4
4.900000000E1,8.841857819E-4,-5.479783251E-5,1.821977082E-5,1.230398462E-4
4.920000000E1,8.908741061E-4,-3.258678918E-5,2.030047672E-5,1.137872430E-4
4.940000000E1,8.923059725E-4,-9.282935288E-6,1.436271239E-5,1.071180734E-4
4.960000000E1,8.966191910E-4,1.026044017E-5,1.637717178E-5,1.199960278E-4
4.980000000E1,8.988568413E-4,3.871547583E-5,9.904945548E-6,1.297473829E-4
5.000000000E1,9.005811693E-4,6.215939332E-5,1.252189820E-5,1.063045472E-4
5.020000000E1,9.038656005E-4,8.123729472E-5,2.121906492E-5,8.609819207E-5
5.040000000E1,9.090687952E-4,9.659867015E-5,1.537787394E-5,7.889385079E-5
5.060000000E1,9.100167501E-4,1.127948350E-4,9.191584577E-6,1.006588796E-4
5.080000000E1,9.127454291E-4,1.368622220E-4,1.593674886E-5,9.764061759E-5
5.100000000E1,9.163914497E-4,1.518510821E-4,1.118581119E-5,7.905922766E-5
5.120000000E1,9.172197535E-4,1.684859130E-4,2.912318504E-6,9.045805387E-5
5.140000000E1,9.175563771E-4,1.880343036E-4,1.813367884E-5,9.512978114E-5
5.160000000E1,9.244732251E-4,2.065378255E-4,3.851025886E-6,1.130529803E-4
5.180000000E1,9.190967874E-4,2.332554957E-4,-1.712998510E-5,1.340337670E-4
5.200000000E1,9.176212310E-4,2.601513323E-4,-1.476245176E-5,1.234491408E-4
5.220000000E1,9.131918067E-4,2.826351521E-4,-9.357414132E-6,8.351590760E-5
5.240000000E1,9.138782654E-4,2.935576953E-4,-2.204008088E-5,7.613443503E-5
5.260000000E1,9.043757744E-4,3.130889261E-4,-1.932565502E-5,9.752897937E-5
5.280000000E1,9.061480034E-4,3.325692871E-4,1.946448893E-5,9.722029696E-5
5.300000000E1,9.121615699E-4,3.519770449E-4,1.470972680E-5,9.305892893E-5
5.320000000E1,9.120318941E-4,3.697928586E-4,3.539182190E-6,1.034603737E-4
5.340000000E1,9.135772428E-4,3.933611943E-4,1.182025607E-5,9.444364041E-5
5.360000000E1,9.167599965E-4,4.075703148E-4,1.587784397E-5,9.990208800E-5
5.380000000E1,9.199283804E-4,4.333220295E-4,-7.145099015E-6,1.172906036E-4
5.400000000E1,9.139019569E-4,4.544865563E-4,-1.988973870E-5,1.019146139E-4
5.420000000E1,9.119724849E-4,4.740878751E-4,-3.997629539E-6,7.598054524E-5
5.440000000E1,9.123029051E-4,4.848787744E-4,1.657595953E-5,4.656310874E-5
5.460000000E1,9.186028687E-4,4.927131186E-4,8.963495483E-6,2.128026513E-5
5.480000000E1,9.158883033E-4,4.933908804E-4,-9.914943957E-6,-4.338635554E-7
5.500000000E1,9.146368911E-4,4.925395732E-4,-1.219242153E-5,-1.168249733E-5
5.520000000E1,9.110113347E-4,4.887178815E-4,-1.931786594E-5,-3.074082526E-5
5.540000000E1,9.069097448E-4,4.802432431E-4,-3.767659865E-6,-5.004957926E-5
5.560000000E1,9.095042707E-4,4.686980498E-4,1.059410531E-5,-4.615004439E-5
5.580000000E1,9.111473869E-4,4.617832253E-4,2.475639851E-6,-4.109625647E-5
5.600000000E1,9.104945267E-4,4.522595472E-4,,
2E-4,,
