t,x,y,v_{x},v_{y}
1.962000000E2,7.281894301E-4,-2.484169402E-4,,
1.964000000E2,7.278518593E-4,-2.587761439E-4,6.719708124E-6,-5.144607694E-5
1.966000000E2,7.308773133E-4,-2.689953710E-4,9.712581528E-6,-4.547184112E-5
1.968000000E2,7.317368919E-4,-2.769648804E-4,-9.996614821E-7,-6.160801283E-5
1.970000000E2,7.304774488E-4,-2.936385761E-4,-3.387760639E-6,-6.868031607E-5
1.972000000E2,7.303817877E-4,-3.044370068E-4,2.143865767E-6,-4.381677122E-5
1.974000000E2,7.313349951E-4,-3.111652846E-4,6.437327124E-6,-3.449106887E-5
1.976000000E2,7.329567185E-4,-3.182334343E-4,1.199554199E-5,-4.235185954E-5
1.978000000E2,7.361332119E-4,-3.281060284E-4,1.574669061E-5,-5.179655320E-5
1.980000000E2,7.392553948E-4,-3.389520556E-4,6.913089940E-6,-4.320556218E-5
1.982000000E2,7.388984478E-4,-3.453882533E-4,2.278002482E-6,-2.676207511E-5
1.984000000E2,7.401665957E-4,-3.496568857E-4,1.207629680E-6,-2.600743330E-5
1.986000000E2,7.393814997E-4,-3.557912266E-4,3.116148099E-6,-5.800838896E-5
1.988000000E2,7.414130550E-4,-3.728602413E-4,1.294666322E-5,-5.528329313E-5
1.990000000E2,7.445601650E-4,-3.779045439E-4,1.396592718E-6,-3.335922154E-5
1.992000000E2,7.419716921E-4,-3.862039299E-4,-1.149686840E-5,-4.459756560E-5
1.994000000E2,7.399614176E-4,-3.957435701E-4,-1.144771216E-5,-3.593230520E-5
1.996000000E2,7.373926072E-4,-4.005768519E-4,-1.503605613E-5,-2.925722286E-5
1.998000000E2,7.339469952E-4,-4.074464592E-4,-1.833267374E-5,-4.603333691E-5
2.000000000E2,7.300595377E-4,-4.189901867E-4,-6.329078752E-6,-5.148209547E-5
2.002000000E2,7.314153637E-4,-4.280392974E-4,3.355185894E-6,-5.608681619E-5
2.004000000E2,7.314016121E-4,-4.414249132E-4,-8.441870195E-6,-5.343514484E-5
2.006000000E2,7.280386156E-4,-4.494133554E-4,-2.265946053E-5,-5.214544300E-5
2.008000000E2,7.223378279E-4,-4.622830904E-4,-1.164081873E-5,-5.637264833E-5
2.010000000E2,7.233822881E-4,-4.719624147E-4,-5.213103455E-6,-5.746100742E-5
2.012000000E2,7.202525865E-4,-4.852674934E-4,-1.613672328E-5,-5.525345822E-5
2.014000000E2,7.169275988E-4,-4.940637980E-4,-8.647413981E-6,-4.722921683E-5
2.016000000E2,7.167936209E-4,-5.041591801E-4,-1.170591836E-5,-4.938965060E-5
2.018000000E2,7.122452315E-4,-5.138196582E-4,-2.040132963E-5,-6.103707117E-5
2.020000000E2,7.086330890E-4,-5.285740086E-4,-1.708296802E-5,-4.872321693E-5
2.022000000E2,7.054120442E-4,-5.333089450E-4,-9.528157663E-6,-3.957185719E-5
2.024000000E2,7.048218260E-4,-5.444027514E-4,-8.686540991E-6,-4.708739983E-5
