t,x,y,v_{y},v_{x}
1.220000000E1,2.487498895E-4,8.266232670E-4,-2.666369787E-5,8.866326926E-6
1.240000000E1,2.496059080E-4,8.229923830E-4,-3.642099052E-7,-3.491582802E-5
1.260000000E1,2.347835583E-4,8.264775830E-4,-1.736261124E-7,-4.261391651E-5
1.280000000E1,2.325603414E-4,8.229229326E-4,-2.564758562E-5,-1.214101768E-6
1.300000000E1,2.342979176E-4,8.162185488E-4,-3.063853335E-5,-1.796544349E-7
1.320000000E1,2.324884796E-4,8.106675192E-4,-2.987473535E-5,-2.129359338E-5
1.340000000E1,2.257804802E-4,8.042686546E-4,-2.310748228E-5,-2.753875993E-5
1.360000000E1,2.214729757E-4,8.014245263E-4,-1.421107823E-5,-4.072172654E-6
1.380000000E1,2.241516111E-4,7.985842233E-4,-3.074201092E-5,1.351804547E-5
1.400000000E1,2.268801938E-4,7.891277219E-4,-3.453190052E-5,1.078163591E-5
1.420000000E1,2.284642655E-4,7.847714631E-4,-4.548829296E-5,-5.803722189E-6
1.440000000E1,2.245587050E-4,7.709324047E-4,-4.550959398E-5,-9.893991634E-6
1.460000000E1,2.245066689E-4,7.665676255E-4,-2.533397849E-5,-3.032786588E-6
1.480000000E1,2.233455903E-4,7.607988134E-4,-2.270590409E-5,-1.591360329E-5
1.500000000E1,2.181412275E-4,7.574852639E-4,-2.311597527E-5,-9.941951211E-6
1.520000000E1,2.193688099E-4,7.515524232E-4,-2.180240308E-5,8.237791007E-6
1.540000000E1,2.214363439E-4,7.487643027E-4,-2.028885017E-5,1.178675172E-5
1.560000000E1,2.240835105E-4,7.434368832E-4,-1.365606462E-5,9.539306924E-6
1.580000000E1,2.252520667E-4,7.433018768E-4,-9.534625731E-6,-7.259000577E-7
1.600000000E1,2.237931505E-4,7.396230329E-4,-2.037968526E-5,-1.956583719E-5
1.620000000E1,2.174257318E-4,7.351500027E-4,-1.085920425E-5,-9.013636015E-6
1.640000000E1,2.201876961E-4,7.352793512E-4,2.045027103E-6,1.526152498E-5
1.660000000E1,2.235303418E-4,7.359680136E-4,-7.740547872E-6,7.033950807E-7
1.680000000E1,2.204690541E-4,7.321831320E-4,-9.542467238E-6,2.324213820E-6
1.700000000E1,2.244600274E-4,7.321510267E-4,-3.114154189E-6,6.058725892E-6
1.720000000E1,2.228925445E-4,7.309374704E-4,-2.451589766E-5,-8.662228266E-6
1.740000000E1,2.209951361E-4,7.223446676E-4,-4.791486107E-5,-8.064166663E-7
1.760000000E1,2.225699778E-4,7.117715259E-4,-3.295424292E-5,-2.669419411E-6
1.780000000E1,2.199273683E-4,7.091629704E-4,-1.859273878E-5,-1.852634327E-5
1.800000000E1,2.151594405E-4,7.043344304E-4,-2.137360800E-5,-2.572438301E-5
1.820000000E1,2.096376151E-4,7.006135272E-4,-2.031715903E-5,-6.514694412E-6
1.840000000E1,2.125535628E-4,6.962075668E-4,-9.151970795E-5,3.370268171E-6
1.860000000E1,2.109857224E-4,6.640056440E-4,-1.723715530E-4,-1.785651253E-5
1.880000000E1,2.054109578E-4,6.272589456E-4,-1.735934520E-4,3.037609228E-6
1.900000000E1,2.122007660E-4,5.945682632E-4,-2.058211130E-4,1.142588492E-5
1.920000000E1,2.099813117E-4,5.449305004E-4,-1.454835596E-4,7.265974715E-7
1.940000000E1,2.124914050E-4,5.363748394E-4,-3.498489532E-5,2.195154117E-5
1.960000000E1,2.187619282E-4,5.309365422E-4,5.210478710E-5,3.081531805E-5
1.980000000E1,2.248175323E-4,5.572167542E-4,1.590248745E-4,4.167539970E-5
2.000000000E1,2.354320881E-4,5.945464920E-4,1.544179862E-4,1.014430294E-5
2.020000000E1,2.288752534E-4,6.189839487E-4,1.425746414E-4,1.114388300E-5
