t,x,y,v_{x},v_{y}
2.40E+02,-9.15E-05,3.33E-04,,
2.40E+02,-8.80E-05,3.66E-04,1.39E-05,1.68E-04
2.41E+02,-8.59E-05,4.00E-04,-6.04E-07,1.81E-04
2.41E+02,-8.83E-05,4.38E-04,-7.17E-06,1.78E-04
2.41E+02,-8.88E-05,4.72E-04,-2.23E-05,1.87E-04
2.41E+02,-9.72E-05,5.13E-04,-2.12E-05,1.84E-04
2.41E+02,-9.73E-05,5.45E-04,4.80E-06,1.77E-04
2.42E+02,-9.52E-05,5.84E-04,6.62E-06,1.83E-04
2.42E+02,-9.46E-05,6.19E-04,-6.08E-06,1.89E-04
2.42E+02,-9.77E-05,6.59E-04,7.77E-06,2.22E-04
2.42E+02,-9.15E-05,7.07E-04,1.69E-05,2.14E-04
2.42E+02,-9.09E-05,7.45E-04,1.99E-06,1.72E-04
2.43E+02,-9.07E-05,7.76E-04,-7.46E-06,7.10E-05
2.43E+02,-9.39E-05,7.73E-04,-1.12E-05,-1.96E-05
2.43E+02,-9.52E-05,7.68E-04,-3.41E-06,-1.23E-05
2.43E+02,-9.53E-05,7.68E-04,-4.82E-07,2.79E-06
2.43E+02,-9.54E-05,7.70E-04,9.06E-06,1.00E-05
2.44E+02,-9.16E-05,7.72E-04,1.76E-06,-7.62E-07
2.44E+02,-9.47E-05,7.69E-04,1.23E-06,-1.95E-05
2.44E+02,-9.12E-05,7.65E-04,1.84E-05,-2.72E-05
2.44E+02,-8.74E-05,7.58E-04,3.97E-06,-1.35E-04
2.44E+02,-8.96E-05,7.10E-04,-1.88E-05,-2.12E-04
2.45E+02,-9.49E-05,6.73E-04,-2.11E-05,-1.93E-04
2.45E+02,-9.80E-05,6.33E-04,-1.48E-05,-2.09E-04
2.45E+02,-1.01E-04,5.90E-04,1.25E-05,-2.07E-04
2.45E+02,-9.30E-05,5.51E-04,2.36E-05,-2.05E-04
2.45E+02,-9.14E-05,5.08E-04,-7.22E-06,-2.34E-04
2.46E+02,-9.59E-05,4.57E-04,-1.13E-05,-2.49E-04
2.46E+02,-9.59E-05,4.08E-04,1.03E-05,-1.31E-04
2.46E+02,-9.18E-05,4.05E-04,2.62E-05,-2.01E-05
2.46E+02,-8.54E-05,4.00E-04,1.11E-05,-1.85E-05
2.46E+02,-8.74E-05,3.97E-04,-5.35E-06,-1.36E-05
2.47E+02,-8.76E-05,3.95E-04,1.58E-05,-4.32E-06
2.47E+02,-8.10E-05,3.95E-04,9.69E-06,-5.14E-06
2.47E+02,-8.37E-05,3.93E-04,-1.17E-05,-2.64E-05
2.47E+02,-8.57E-05,3.85E-04,-1.06E-06,-3.22E-05
2.47E+02,-8.41E-05,3.80E-04,-5.52E-06,-3.74E-05
2.48E+02,-8.79E-05,3.70E-04,-1.88E-05,-3.59E-05
2.48E+02,-9.16E-05,3.65E-04,-2.66E-06,-3.21E-05
2.48E+02,-8.90E-05,3.57E-04,2.84E-06,7.68E-05
2.48E+02,-9.05E-05,3.96E-04,-1.79E-05,1.96E-04
2.48E+02,-9.62E-05,4.36E-04,-2.63E-05,1.83E-04
2.49E+02,-1.01E-04,4.69E-04,-9.17E-06,1.99E-04
2.49E+02,-9.98E-05,5.15E-04,4.99E-06,2.03E-04
2.49E+02,-9.90E-05,5.51E-04,2.53E-06,1.96E-04
2.49E+02,-9.88E-05,5.94E-04,2.17E-06,2.08E-04
2.49E+02,-9.81E-05,6.34E-04,6.10E-06,8.38E-05
2.50E+02,-9.64E-05,6.27E-04,1.28E-05,-2.99E-05
2.50E+02,-9.30E-05,6.22E-04,4.47E-06,-3.57E-05
2.50E+02,-9.46E-05,6.13E-04,-9.80E-06,-2.28E-05
2.50E+02,-9.69E-05,6.13E-04,-6.72E-06,-1.22E-05
2.50E+02,-9.73E-05,6.08E-04,-1.55E-05,-3.61E-05
2.51E+02,-1.03E-04,5.98E-04,-3.08E-05,-3.95E-05
2.51E+02,-1.10E-04,5.92E-04,-2.95E-05,-1.94E-05
2.51E+02,-1.15E-04,5.91E-04,-2.09E-05,1.61E-06
2.51E+02,-1.18E-04,5.93E-04,-1.20E-05,6.16E-07
2.51E+02,-1.20E-04,5.91E-04,-1.02E-05,-2.47E-05
2.52E+02,-1.22E-04,5.83E-04,-1.67E-05,-9.14E-06
2.52E+02,-1.26E-04,5.87E-04,-3.42E-05,1.09E-04
2.52E+02,-1.36E-04,6.27E-04,-2.21E-05,2.05E-04
2.52E+02,-1.35E-04,6.69E-04,3.86E-06,1.97E-04
2.52E+02,-1.34E-04,7.05E-04,4.04E-06,1.96E-04
2.53E+02,-1.34E-04,7.48E-04,2.72E-06,2.07E-04
2.53E+02,-1.33E-04,7.88E-04,3.44E-06,1.98E-04
2.53E+02,-1.32E-04,8.27E-04,5.26E-06,2.16E-04
2.53E+02,-1.31E-04,8.75E-04,-2.05E-06,2.43E-04
2.53E+02,-1.33E-04,9.24E-04,-5.06E-06,2.20E-04
2.54E+02,-1.33E-04,9.63E-04,7.98E-08,2.05E-04
2.54E+02,-1.33E-04,1.01E-03,-1.32E-06,2.03E-04
2.54E+02,-1.34E-04,1.04E-03,-3.93E-06,1.94E-04
2.54E+02,-1.35E-04,1.08E-03,-6.47E-06,1.99E-04
2.54E+02,-1.36E-04,1.12E-03,-1.48E-05,1.79E-04
2.55E+02,-1.40E-04,1.16E-03,-1.11E-05,1.79E-04
2.55E+02,-1.41E-04,1.20E-03,1.16E-05,2.03E-04
2.55E+02,-1.36E-04,1.24E-03,1.01E-05,2.10E-04
2.55E+02,-1.36E-04,1.28E-03,2.04E-05,1.67E-04
2.55E+02,-1.28E-04,1.30E-03,7.34E-06,3.93E-05
2.56E+02,-1.34E-04,1.30E-03,1.01E-05,-2.47E-05
2.56E+02,-1.24E-04,1.29E-03,-5.03E-06,-2.31E-05
2.56E+02,-1.36E-04,1.29E-03,-3.65E-05,-2.56E-05
2.56E+02,-1.38E-04,1.28E-03,-1.70E-05,-9.67E-06
2.56E+02,-1.42E-04,1.28E-03,-3.63E-05,-8.78E-06
2.57E+02,-1.53E-04,1.28E-03,-3.39E-05,-4.75E-06
2.57E+02,-1.56E-04,1.28E-03,-1.31E-05,-1.25E-05
2.57E+02,-1.58E-04,1.27E-03,-6.10E-06,-2.06E-05
2.57E+02,-1.58E-04,1.27E-03,-8.50E-06,-1.74E-05
2.57E+02,-1.61E-04,1.27E-03,-8.60E-06,-1.98E-05
2.58E+02,-1.62E-04,1.26E-03,4.53E-06,-8.03E-06
2.58E+02,-1.60E-04,1.26E-03,1.65E-05,-3.81E-06
2.58E+02,-1.55E-04,1.26E-03,1.20E-05,-2.57E-05
2.58E+02,-1.55E-04,1.25E-03,-7.04E-06,-9.57E-06
2.58E+02,-1.58E-04,1.26E-03,-9.39E-06,1.87E-07
2.59E+02,-1.59E-04,1.25E-03,-9.72E-07,-9.39E-06
2.59E+02,-1.58E-04,1.25E-03,-2.18E-06,-4.90E-06
2.59E+02,-1.59E-04,1.25E-03,2.97E-06,-3.64E-05
2.59E+02,-1.57E-04,1.24E-03,1.33E-05,-4.84E-05
2.59E+02,-1.54E-04,1.23E-03,1.47E-05,-3.55E-05
2.60E+02,-1.51E-04,1.23E-03,1.47E-06,-2.61E-05
2.60E+02,-1.54E-04,1.22E-03,7.34E-06,-4.85E-06
2.60E+02,-1.48E-04,1.22E-03,7.13E-06,-5.83E-06
2.60E+02,-1.51E-04,1.22E-03,-1.77E-05,-1.16E-05
2.60E+02,-1.56E-04,1.22E-03,-1.66E-05,-1.90E-05
2.61E+02,-1.57E-04,1.21E-03,-1.82E-05,-5.12E-05
2.61E+02,-1.63E-04,1.20E-03,-1.56E-05,-4.49E-05
2.61E+02,-1.64E-04,1.19E-03,1.56E-06,-7.97E-06
2.61E+02,-1.62E-04,1.20E-03,9.52E-06,-4.62E-06
2.61E+02,-1.60E-04,1.19E-03,3.07E-06,-9.59E-06
2.62E+02,-1.61E-04,1.19E-03,4.00E-06,-1.12E-05
2.62E+02,-1.58E-04,1.19E-03,2.40E-06,-1.87E-05
2.62E+02,-1.60E-04,1.18E-03,-1.80E-05,-2.37E-05
2.62E+02,-1.65E-04,1.18E-03,-2.19E-05,-3.29E-05
2.62E+02,-1.69E-04,1.17E-03,7.22E-06,-1.76E-05
2.63E+02,-1.62E-04,1.17E-03,2.00E-05,7.41E-06
2.63E+02,-1.61E-04,1.17E-03,-1.27E-05,-7.54E-06
2.63E+02,-1.68E-04,1.17E-03,-2.16E-05,-4.47E-05
2.63E+02,-1.69E-04,1.16E-03,-1.03E-05,-3.89E-05
2.63E+02,-1.72E-04,1.15E-03,-7.50E-06,-2.83E-05
2.64E+02,-1.72E-04,1.15E-03,4.37E-06,-2.39E-05
2.64E+02,-1.70E-04,1.14E-03,-2.48E-06,-2.09E-05
2.64E+02,-1.73E-04,1.14E-03,-1.05E-05,-2.64E-05
2.64E+02,-1.74E-04,1.13E-03,-5.00E-06,-1.25E-05
2.64E+02,-1.75E-04,1.13E-03,3.04E-05,3.41E-06
2.65E+02,-1.62E-04,1.13E-03,1.34E-05,-1.71E-05
2.65E+02,-1.70E-04,1.12E-03,-2.54E-05,-2.36E-05
2.65E+02,-1.72E-04,1.12E-03,2.59E-07,-2.01E-05
2.65E+02,-1.70E-04,1.12E-03,3.41E-06,-9.95E-06
2.65E+02,-1.71E-04,1.12E-03,1.51E-05,1.45E-05
2.66E+02,-1.64E-04,1.12E-03,2.11E-05,6.87E-07
2.66E+02,-1.62E-04,1.12E-03,-1.17E-05,-1.46E-05
2.66E+02,-1.68E-04,1.12E-03,-1.13E-05,-1.65E-05
2.66E+02,-1.67E-04,1.11E-03,2.48E-05,-1.52E-05
2.66E+02,-1.59E-04,1.11E-03,3.07E-05,-1.45E-05
2.67E+02,-1.55E-04,1.11E-03,4.02E-06,-3.80E-06
