,t,x,y,v_{x},v_{y}
1,3.8,0.000241,-0.000282,-2.29E-06,-3.77E-05
2,4,0.00024,-0.000297,6.76E-07,-5.47E-05
3,4.2,0.000241,-0.000304,-1.83E-07,-4.60E-05
4,4.4,0.00024,-0.000315,7.07E-06,-4.12E-05
5,4.6,0.000244,-0.00032,1.06E-05,-1.65E-05
6,4.8,0.000244,-0.000322,-7.66E-06,-3.06E-05
7,5,0.000241,-0.000332,-9.84E-06,-4.39E-05
8,5.2,0.00024,-0.000339,7.73E-06,-2.91E-05
9,5.4,0.000244,-0.000344,9.20E-06,-3.67E-05
10,5.6,0.000244,-0.000354,-7.87E-06,-3.01E-05
11,5.8,0.000241,-0.000356,6.58E-06,-1.57E-05
12,6,0.000247,-0.00036,5.50E-06,-3.50E-05
13,6.2,0.000243,-0.00037,-7.58E-06,-5.06E-05
14,6.4,0.000244,-0.000381,5.81E-07,-4.92E-05
15,6.6,0.000243,-0.00039,-7.27E-06,-3.38E-05
16,6.8,0.000241,-0.000394,-1.40E-05,-5.00E-05
17,7,0.000238,-0.00041,-1.44E-05,-5.21E-05
18,7.2,0.000235,-0.000415,-1.37E-05,-2.75E-05
19,7.4,0.000232,-0.000421,-9.54E-06,-4.01E-05
20,7.6,0.000231,-0.000431,-1.61E-05,-5.06E-05
21,7.8,0.000226,-0.000441,-1.66E-05,-5.07E-05
22,8,0.000224,-0.000451,-5.60E-07,-3.67E-05
23,8.2,0.000226,-0.000456,-1.32E-06,-2.52E-05
24,8.4,0.000224,-0.000461,-1.89E-05,-3.92E-05
25,8.6,0.000218,-0.000471,-1.82E-05,-3.35E-05
26,8.8,0.000217,-0.000475,-7.13E-06,-2.78E-05
27,9,0.000215,-0.000482,-2.82E-06,-4.40E-05
28,9.2,0.000215,-0.000492,6.92E-07,-4.34E-05
29,9.4,0.000215,-0.0005,4.50E-06,-4.43E-05
30,9.6,0.000217,-0.00051,1.57E-05,-6.37E-05
31,9.8,0.000222,-0.000525,4.74E-06,-6.22E-05
32,10,0.000219,-0.000535,-6.57E-06,-3.47E-05
33,10.2,0.000219,-0.000539,3.87E-06,-2.50E-05
34,10.4,0.000221,-0.000545,8.60E-06,2.23E-05
35,10.6,0.000223,-0.00053,1.23E-05,0.0001
36,10.8,0.000226,-0.000505,7.11E-06,0.000137
37,11,0.000225,-0.000476,5.83E-06,0.00014
38,11.2,0.000228,-0.000449,-2.20E-06,0.000138
39,11.4,0.000225,-0.00042,-7.06E-06,0.000153
40,11.6,0.000225,-0.000388,1.59E-06,0.000148
41,11.8,0.000225,-0.000361,-7.48E-06,0.000124
42,12,0.000222,-0.000339,-1.26E-05,0.000123
43,12.2,0.00022,-0.000312,-9.18E-06,0.000129
44,12.4,0.000218,-0.000287,9.81E-07,0.000119
45,12.6,0.000221,-0.000264,1.57E-05,0.000112
46,12.8,0.000225,-0.000242,1.12E-05,0.000108
47,13,0.000225,-0.000221,6.32E-06,0.000139
48,13.2,0.000227,-0.000187,2.12E-05,0.000142
49,13.4,0.000233,-0.000164,1.41E-05,0.000113
50,13.6,0.000233,-0.000141,-3.71E-06,0.00011
51,13.8,0.000232,-0.00012,1.08E-06,0.000125
52,14,0.000233,-9.15E-05,4.52E-06,0.00013
53,14.2,0.000234,-6.79E-05,1.97E-07,0.000132
54,14.4,0.000233,-3.86E-05,-7.38E-06,0.000142
55,14.6,0.000231,-1.09E-05,-8.72E-06,0.000154
56,14.8,0.00023,2.30E-05,-6.93E-06,0.000156
57,15,0.000228,5.16E-05,-1.06E-06,0.000137
58,15.2,0.00023,7.76E-05,-7.69E-06,0.00013
59,15.4,0.000225,0.000104,-1.12E-05,0.000123
60,15.6,0.000225,0.000127,-2.07E-05,0.000114
61,15.8,0.000217,0.000149,-2.22E-05,0.000119
62,16,0.000216,0.000174,-1.24E-05,0.00012
63,16.2,0.000212,0.000197,-2.13E-05,0.000111
64,16.4,0.000208,0.000219,-1.62E-05,0.000107
65,16.6,0.000205,0.00024,-1.51E-05,0.00012
66,16.8,0.000202,0.000267,-5.57E-05,0.00016
67,17,0.000183,0.000304,-1.69E-05,0.000124
68,17.2,0.000195,0.000317,2.44E-05,8.30E-05
69,17.4,0.000193,0.000337,-2.97E-06,0.000132
70,17.6,0.000194,0.000369,-3.77E-06,0.000142
71,17.8,0.000191,0.000394,1.47E-06,0.000124
72,18,0.000194,0.000419,2.13E-06,0.000108
73,18.2,0.000192,0.000437,-1.74E-05,0.000107
74,18.4,0.000187,0.000462,-1.61E-05,6.18E-05
75,18.6,0.000186,0.000462,-9.36E-06,-1.22E-05
76,18.8,0.000184,0.000457,-3.12E-06,-3.62E-05
77,19,0.000184,0.000447,8.75E-06,-4.99E-05
78,19.2,0.000187,0.000437,6.18E-06,-3.41E-05
79,19.4,0.000187,0.000433,-7.02E-07,-2.70E-05
80,19.6,0.000187,0.000426,-3.41E-06,-3.97E-05
81,19.8,0.000186,0.000418,-6.86E-07,-3.39E-05
82,20,0.000186,0.000412,1.93E-05,-2.04E-05
83,20.2,0.000193,0.000409,1.12E-05,-3.79E-05
84,20.4,0.000191,0.000397,-1.77E-05,-6.66E-05
85,20.6,0.000186,0.000383,-2.14E-05,-7.41E-05
86,20.8,0.000182,0.000368,-6.80E-06,-4.99E-05
87,21,0.000183,0.000363,-1.65E-07,-2.68E-05
88,21.2,0.000182,0.000357,-1.48E-05,-3.94E-05
89,21.4,0.000178,0.000347,-7.73E-06,-4.05E-05
90,21.6,0.000179,0.000341,3.27E-06,-4.27E-05
91,21.8,0.000179,0.00033,-2.49E-06,-4.56E-05
92,22,0.000178,0.000322,-5.33E-06,-3.53E-05
93,22.2,0.000177,0.000316,-6.23E-06,-2.87E-05
94,22.4,0.000176,0.000311,-8.48E-06,-4.52E-05
95,22.6,0.000173,0.000298,-2.37E-07,-5.77E-05
96,22.8,0.000176,0.000288,-4.61E-06,-7.41E-05
97,23,0.000171,0.000268,-7.84E-06,-7.29E-05
98,23.2,0.000172,0.000259,-1.06E-05,-4.76E-05
99,23.4,0.000167,0.000249,-1.78E-05,-4.52E-05
100,23.6,0.000165,0.000241,-5.91E-06,-4.37E-05
101,23.8,0.000165,0.000232,1.04E-05,-3.97E-05
102,24,0.00017,0.000225,7.64E-06,-4.23E-05
103,24.2,0.000168,0.000215,-1.16E-05,-3.45E-05
104,24.4,0.000165,0.000211,-1.20E-05,-2.05E-05
105,24.6,0.000163,0.000207,-5.91E-06,-2.69E-05
106,24.8,0.000163,0.0002,-3.45E-06,-3.93E-05
107,25,0.000162,0.000191,-5.74E-06,-5.77E-05
108,25.2,0.00016,0.000177,-4.43E-06,-6.77E-05
