 ,X,Y,Position,Time
1,18.651,1.156,27.802,0
2,18.256,1.096,27.407,3
3,17.904,1.125,27.055,6
4,17.519,1.156,26.67,9
5,17.136,1.073,26.287,12
6,16.772,1.125,25.924,15
7,16.376,1.142,25.527,18
8,16.031,1.088,25.182,21
9,15.641,1.125,24.792,24
10,15.289,1.136,24.44,27
11,14.926,1.096,24.077,30
12,14.572,1.117,23.724,33
13,14.225,1.151,23.376,36
14,13.888,1.084,23.039,39
15,13.556,1.101,22.707,42
16,13.228,1.132,22.38,45
17,12.895,1.107,22.046,48
18,12.589,1.086,21.74,51
19,12.273,1.132,21.425,54
20,12.001,1.091,21.152,57
21,11.707,1.076,20.859,60
22,11.453,1.125,20.604,63
23,11.174,1.107,20.325,66
24,10.938,1.067,20.089,69
25,10.689,1.125,19.84,72
26,10.472,1.107,19.623,75
27,10.283,1.059,19.434,78
28,10.063,1.126,19.214,81
29,9.898,1.102,19.049,84
30,9.755,1.068,18.906,87
31,9.562,1.12,18.713,90
32,9.418,1.09,18.569,93
33,9.309,1.051,18.46,96
34,9.199,1.107,18.35,99
35,9.128,1.107,18.279,102
36,9.055,1.061,18.206,105
37,8.984,1.096,18.135,108
38,8.921,1.113,18.073,111
39,8.905,1.053,18.056,114
40,8.89,1.085,18.041,117
41,8.913,1.117,18.064,120
42,8.905,1.053,18.056,123
43,8.923,1.09,18.074,126
44,8.984,1.117,18.135,129
45,9.055,1.076,18.206,132
46,9.125,1.076,18.277,135
47,9.203,1.125,18.354,138
48,9.302,1.061,18.453,141
49,9.418,1.09,18.569,144
50,9.55,1.117,18.701,147
51,9.713,1.074,18.865,150
52,9.857,1.058,19.008,153
53,10.037,1.124,19.188,156
54,10.196,1.09,19.347,159
55,10.407,1.069,19.558,162
56,10.603,1.124,19.754,165
57,10.823,1.117,19.974,168
58,11.047,1.073,20.198,171
59,11.265,1.127,20.416,174
60,11.531,1.117,20.682,177
61,11.769,1.063,20.92,180
62,12.033,1.125,21.184,183
63,12.301,1.124,21.452,186
64,12.585,1.068,21.736,189
65,12.86,1.132,22.011,192
66,13.158,1.132,22.309,195
67,13.441,1.076,22.592,198
68,13.731,1.125,22.882,201
69,14.053,1.135,23.204,204
70,14.367,1.092,23.518,207
71,14.679,1.12,23.83,210
72,14.999,1.142,24.15,213
73,15.295,1.122,24.446,216
74,15.641,1.125,24.792,219
75,15.972,1.159,25.123,222
76,16.306,1.12,25.457,225
77,16.631,1.125,25.782,228
78,16.962,1.159,26.113,231
79,17.296,1.12,26.447,234
80,17.641,1.126,26.792,237
81,17.962,1.159,27.113,240
82,18.278,1.126,27.429,243
83,18.622,1.127,27.773,246
84,18.964,1.16,28.115,249
85,19.312,1.132,28.463,252
86,19.63,1.132,28.781,255
87,19.971,1.154,29.122,258
88,20.3,1.142,29.451,261
89,20.621,1.12,29.772,264
90,20.933,1.159,30.084,267
91,21.247,1.15,30.398,270
92,21.569,1.125,30.72,273
93,21.877,1.163,31.029,276
94,22.181,1.16,31.332,279
95,22.488,1.125,31.639,282
96,22.778,1.132,31.929,285
97,23.061,1.151,32.212,288
98,23.344,1.117,32.495,291
99,23.629,1.142,32.78,294
100,23.904,1.159,33.055,297
101,24.186,1.125,33.337,300
102,24.416,1.134,33.567,303
103,24.688,1.167,33.839,306
104,24.908,1.125,34.059,309
105,25.176,1.125,34.327,312
106,25.396,1.167,34.547,315
107,25.608,1.117,34.759,318
108,25.827,1.125,34.978,321
109,26.026,1.159,35.177,324
110,26.209,1.132,35.36,327
111,26.386,1.117,35.537,330
112,26.567,1.158,35.718,333
113,26.74,1.117,35.891,336
114,26.888,1.125,36.039,339
115,27.023,1.151,36.174,342
116,27.149,1.132,36.3,345
117,27.247,1.102,36.398,348
118,27.378,1.142,36.53,351
119,27.462,1.132,36.613,354
120,27.559,1.102,36.71,357
121,27.607,1.138,36.758,360
122,27.674,1.132,36.826,363
123,27.73,1.117,36.881,366
124,27.748,1.127,36.899,369
125,27.776,1.135,36.927,372
126,27.798,1.107,36.949,375
127,27.756,1.134,36.907,378
128,27.739,1.136,36.89,381
129,27.678,1.113,36.83,384
130,27.659,1.117,36.81,387
