 	X	Y	Position	Time
1	20.515	1.132	29.666	0
2	20.444	1.132	29.595	3
3	20.373	0.955	29.524	6
4	20.309	1.105	29.460	9
5	20.255	1.155	29.406	12
6	20.161	0.975	29.312	15
7	20.116	1.063	29.267	18
8	20.022	1.178	29.173	21
9	19.949	0.955	29.100	24
10	19.896	1.052	29.047	27
11	19.815	1.184	28.966	30
12	19.752	0.990	28.903	33
13	19.710	1.048	28.861	36
14	19.630	1.203	28.781	39
15	19.560	1.001	28.711	42
16	19.515	1.008	28.667	45
17	19.453	1.187	28.605	48
18	19.383	1.026	28.534	51
19	19.319	0.983	28.470	54
20	19.270	1.193	28.421	57
21	19.221	1.051	28.372	60
22	19.178	0.983	28.329	63
23	19.103	1.178	28.254	66
24	19.064	1.061	28.216	69
25	19.036	0.983	28.187	72
26	19.024	1.167	28.175	75
27	18.965	1.068	28.117	78
28	18.958	0.975	28.109	81
29	18.932	1.129	28.084	84
30	18.903	1.132	28.054	87
31	18.890	0.966	28.041	90
32	18.872	1.132	28.024	93
33	18.862	1.129	28.013	96
34	18.890	0.966	28.041	99
35	18.866	1.111	28.017	102
36	18.879	1.140	28.031	105
37	18.890	0.966	28.041	108
38	18.895	1.054	28.046	111
39	18.943	1.132	28.094	114
40	18.958	0.975	28.109	117
41	18.973	1.061	28.125	120
42	19.026	1.178	28.177	123
43	19.044	0.990	28.195	126
44	19.092	1.053	28.243	129
45	19.112	1.173	28.263	132
46	19.187	1.002	28.338	135
47	19.241	1.026	28.392	138
48	19.283	1.193	28.434	141
49	19.355	1.022	28.506	144
50	19.399	1.002	28.550	147
51	19.465	1.173	28.616	150
52	19.542	1.052	28.693	153
53	19.610	0.990	28.761	156
54	19.671	1.167	28.822	159
55	19.744	1.054	28.895	162
56	19.822	0.990	28.973	165
57	19.893	1.177	29.044	168
58	19.964	1.061	29.115	171
59	20.090	0.975	29.241	174
60	20.135	1.153	29.286	177
61	20.218	1.092	29.370	180
62	20.302	0.975	29.454	183
63	20.373	1.147	29.524	186
64	20.453	1.114	29.604	189
65	20.522	0.983	29.673	192
66	20.600	1.132	29.752	195
67	20.691	1.132	29.843	198
68	20.762	0.990	29.913	201
69	20.838	1.092	29.989	204
70	20.904	1.147	30.055	207
71	20.974	0.990	30.126	210
72	21.045	1.061	30.196	213
73	21.130	1.160	30.281	216
74	21.207	1.000	30.358	219
75	21.257	1.061	30.408	222
