 ,X,Y,Position,Time
1,4.435,1.832,12.080,0
2,4.679,1.818,12.325,3
3,4.913,1.839,12.559,6
4,5.164,1.834,12.810,9
5,5.447,1.834,13.093,12
6,5.724,1.842,13.369,15
7,6.015,1.835,13.661,18
8,6.323,1.830,13.969,21
9,6.645,1.842,14.290,24
10,6.969,1.844,14.615,27
11,7.298,1.827,14.943,30
12,7.644,1.834,15.289,33
13,8.013,1.873,15.659,36
14,8.385,1.839,16.031,39
15,8.761,1.845,16.407,42
16,9.140,1.878,16.785,45
17,9.550,1.852,17.195,48
18,9.931,1.859,17.577,51
19,10.350,1.886,17.996,54
20,10.753,1.870,18.399,57
21,11.170,1.866,18.816,60
22,11.601,1.882,19.246,63
23,12.024,1.878,19.670,66
24,12.454,1.870,20.100,69
25,12.877,1.917,20.523,72
26,13.314,1.885,20.960,75
27,13.750,1.870,21.396,78
28,14.170,1.893,21.816,81
29,14.623,1.897,22.268,84
30,15.049,1.881,22.694,87
31,15.492,1.889,23.138,90
32,15.927,1.907,23.572,93
33,16.372,1.885,24.018,96
34,16.780,1.901,24.425,99
35,17.209,1.901,24.854,102
36,17.628,1.891,25.274,105
37,18.047,1.913,25.693,108
38,18.464,1.919,26.110,111
39,18.846,1.893,26.492,114
40,19.252,1.913,26.897,117
41,19.632,1.940,27.277,120
42,20.026,1.889,27.672,123
43,20.405,1.913,28.051,126
44,20.765,1.940,28.411,129
45,21.121,1.893,28.767,132
46,21.468,1.913,29.113,135
47,21.810,1.948,29.456,138
48,22.150,1.911,29.796,141
49,22.457,1.903,30.103,144
50,22.782,1.941,30.428,147
51,23.062,1.908,30.707,150
52,23.360,1.904,31.006,153
53,23.599,1.940,31.245,156
54,23.879,1.923,31.524,159
55,24.117,1.897,31.762,162
56,24.353,1.944,31.998,165
57,24.579,1.940,32.224,168
58,24.782,1.913,32.428,171
59,24.967,1.921,32.612,174
60,25.147,1.931,32.793,177
61,25.284,1.892,32.930,180
62,25.435,1.913,33.081,183
63,25.570,1.920,33.215,186
64,25.666,1.882,33.312,189
65,25.770,1.913,33.415,192
66,25.841,1.913,33.486,195
67,25.927,1.895,33.572,198
68,25.982,1.913,33.628,201
69,26.002,1.913,33.648,204
70,26.002,1.893,33.648,207
71,26.009,1.920,33.655,210
72,26.006,1.931,33.652,213
73,25.977,1.891,33.622,216
74,25.924,1.906,33.570,219
75,25.833,1.919,33.479,222
76,25.769,1.904,33.415,225
77,25.663,1.913,33.309,228
78,25.577,1.928,33.223,231
79,25.435,1.913,33.081,234
80,25.293,1.913,32.939,237
81,25.152,1.948,32.797,240
82,24.990,1.913,32.636,243
83,24.797,1.913,32.443,246
84,24.605,1.944,32.250,249
85,24.383,1.911,32.029,252
86,24.160,1.913,31.806,255
87,23.927,1.922,31.573,258
88,23.674,1.911,31.320,261
89,23.397,1.901,31.043,264
90,23.144,1.929,30.790,267
91,22.840,1.911,30.485,270
92,22.566,1.903,30.211,273
93,22.247,1.933,29.893,276
94,21.928,1.908,29.574,279
95,21.615,1.885,29.261,282
96,21.264,1.931,28.910,285
97,20.908,1.920,28.554,288
98,20.554,1.893,28.200,291
99,20.199,1.920,27.845,294
100,19.838,1.913,27.484,297
101,19.466,1.895,27.112,300
102,19.066,1.920,26.711,303
103,18.694,1.911,26.340,306
104,18.300,1.878,25.946,309
105,17.905,1.913,25.551,312
106,17.500,1.913,25.146,315
107,17.110,1.878,24.756,318
108,16.703,1.917,24.349,321
109,16.281,1.907,23.927,324
110,15.870,1.893,23.516,327
111,15.453,1.893,23.099,330
112,15.063,1.899,22.708,333
113,14.619,1.889,22.265,336
114,14.225,1.885,21.871,339
115,13.804,1.901,21.450,342
116,13.402,1.878,21.048,345
117,13.007,1.884,20.653,348
118,12.593,1.907,20.238,351
119,12.196,1.878,19.841,354
120,11.804,1.881,19.450,357
121,11.423,1.885,19.068,360
122,11.022,1.859,18.668,363
123,10.638,1.862,18.283,366
124,10.269,1.885,17.915,369
125,9.912,1.849,17.558,372
126,9.567,1.853,17.213,375
127,9.219,1.878,16.865,378
128,8.856,1.842,16.502,381
129,8.517,1.842,16.163,384
130,8.214,1.860,15.860,387
131,7.900,1.842,15.546,390
132,7.596,1.842,15.242,393
133,7.311,1.869,14.957,396
134,7.029,1.842,14.675,399
135,6.795,1.835,14.440,402
136,6.503,1.842,14.149,405
137,6.250,1.842,13.896,408
138,6.029,1.835,13.675,411
139,5.817,1.835,13.463,414
140,5.633,1.842,13.278,417
141,5.461,1.837,13.106,420
142,5.243,1.827,12.889,423
143,5.101,1.842,12.747,426
144,4.959,1.827,12.605,429
145,4.810,1.834,12.455,432
146,4.722,1.845,12.368,435
147,4.605,1.827,12.251,438
148,4.534,1.827,12.180,441
149,4.446,1.836,12.092,444
150,4.393,1.807,12.038,447
151,4.381,1.824,12.027,450
152,4.322,1.827,11.968,453
153,4.325,1.818,11.970,456
154,4.325,1.818,11.970,459
155,4.337,1.842,11.983,462
156,4.393,1.827,12.038,465
157,4.435,1.832,12.080,468
158,4.510,1.845,12.156,471
159,4.576,1.832,12.222,474
160,4.679,1.818,12.325,477
161,4.762,1.842,12.408,480
162,4.889,1.827,12.534,483
163,5.030,1.827,12.676,486
164,5.164,1.834,12.810,489
165,5.322,1.834,12.968,492
166,5.518,1.834,13.164,495
167,5.683,1.842,13.329,498
168,5.872,1.834,13.518,501
169,6.093,1.827,13.739,504
170,6.297,1.834,13.943,507
171,6.538,1.852,14.184,510
172,6.795,1.835,14.440,513
173,7.029,1.842,14.675,516
174,7.293,1.860,14.939,519
175,7.574,1.835,15.220,522
176,7.857,1.849,15.503,525
177,8.148,1.857,15.793,528
178,8.449,1.838,16.095,531
179,8.761,1.845,16.407,534
180,9.075,1.886,16.721,537
181,9.423,1.842,17.069,540
182,9.742,1.859,17.388,543
183,10.074,1.891,17.720,546
184,10.430,1.842,18.076,549
185,10.781,1.878,18.427,552
186,11.130,1.886,18.775,555
187,11.492,1.869,19.138,558
188,11.864,1.874,19.509,561
189,12.239,1.917,19.885,564
190,12.611,1.878,20.257,567
191,12.980,1.870,20.625,570
192,13.362,1.899,21.008,573
193,13.736,1.892,21.381,576
194,14.111,1.878,21.757,579
195,14.497,1.907,22.143,582
196,14.858,1.904,22.504,585
197,15.238,1.870,22.884,588
198,15.597,1.911,23.243,591
199,15.977,1.904,23.622,594
200,16.358,1.878,24.004,597
201,16.714,1.920,24.359,600
202,17.077,1.923,24.723,603
203,17.424,1.884,25.070,606
204,17.783,1.913,25.429,609
205,18.127,1.911,25.773,612
206,18.474,1.895,26.120,615
207,18.818,1.927,26.463,618
208,19.161,1.941,26.807,621
209,19.466,1.895,27.112,624
210,19.785,1.917,27.431,627
211,20.110,1.948,27.755,630
212,20.405,1.893,28.051,633
213,20.688,1.913,28.334,636
214,20.978,1.940,28.624,639
215,21.257,1.903,28.903,642
216,21.531,1.901,29.176,645
217,21.786,1.948,29.432,648
218,22.034,1.913,29.680,651
219,22.253,1.886,29.899,654
220,22.518,1.948,30.164,657
221,22.736,1.920,30.381,660
222,22.946,1.892,30.592,663
223,23.129,1.941,30.774,666
224,23.310,1.913,30.955,669
225,23.487,1.904,31.133,672
226,23.652,1.948,31.298,675
227,23.786,1.913,31.432,678
228,23.930,1.895,31.575,681
229,24.061,1.927,31.706,684
230,24.149,1.911,31.795,687
231,24.248,1.888,31.894,690
232,24.309,1.920,31.954,693
233,24.391,1.928,32.037,696
234,24.449,1.885,32.095,699
235,24.494,1.922,32.139,702
236,24.514,1.933,32.160,705
237,24.520,1.885,32.165,708
238,24.520,1.940,32.166,711
239,24.514,1.933,32.160,714
240,24.494,1.904,32.139,717
241,24.450,1.920,32.096,720
242,24.408,1.933,32.054,723
243,24.333,1.900,31.978,726
244,24.266,1.913,31.912,729
245,24.160,1.933,31.806,732
246,24.068,1.904,31.714,735
247,23.926,1.913,31.572,738
248,23.806,1.948,31.451,741
249,23.664,1.913,31.310,744
250,23.510,1.901,31.156,747
251,23.338,1.952,30.984,750
252,23.158,1.911,30.803,753
253,22.955,1.893,30.601,756
254,22.752,1.966,30.397,759
255,22.541,1.911,30.186,762
256,22.308,1.892,29.954,765
257,22.073,1.955,29.719,768
258,21.822,1.913,29.468,771
259,21.570,1.893,29.216,774
260,21.298,1.941,28.943,777
261,21.035,1.920,28.681,780
262,20.739,1.913,28.385,783
263,20.464,1.948,28.110,786
264,20.173,1.913,27.818,789
265,19.838,1.893,27.484,792
266,19.548,1.940,27.194,795
267,19.218,1.917,26.864,798
268,18.889,1.881,26.534,801
269,18.590,1.929,26.236,804
270,18.244,1.933,25.890,807
271,17.900,1.891,25.545,810
272,17.551,1.913,25.197,813
273,17.217,1.924,24.862,816
274,16.872,1.892,24.517,819
275,16.528,1.913,24.173,822
276,16.154,1.913,23.800,825
277,15.811,1.878,23.457,828
278,15.445,1.893,23.091,831
279,15.091,1.913,22.737,834
280,14.749,1.878,22.394,837
281,14.383,1.893,22.028,840
282,14.048,1.905,21.694,843
283,13.690,1.885,21.336,846
284,13.344,1.889,20.990,849
285,13.008,1.907,20.654,852
286,12.643,1.874,20.289,855
287,12.312,1.870,19.958,858
288,11.985,1.901,19.631,861
289,11.632,1.874,19.278,864
290,11.327,1.863,18.972,867
291,10.986,1.895,18.632,870
292,10.700,1.853,18.346,873
293,10.388,1.848,18.034,876
294,10.082,1.887,17.728,879
295,9.801,1.870,17.447,882
296,9.509,1.842,17.155,885
297,9.235,1.889,16.880,888
298,8.986,1.863,16.632,891
299,8.722,1.835,16.367,894
300,8.475,1.882,16.121,897
301,8.240,1.863,15.886,900
302,8.013,1.835,15.659,903
303,7.793,1.857,15.439,906
304,7.581,1.857,15.227,909
305,7.384,1.842,15.029,912
306,7.212,1.842,14.857,915
307,7.039,1.845,14.684,918
308,6.872,1.827,14.518,921
309,6.724,1.849,14.369,924
310,6.596,1.849,14.242,927
311,6.463,1.842,14.108,930
312,6.369,1.835,14.015,933
313,6.250,1.842,13.896,936
314,6.171,1.835,13.817,939
